mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total % Area,Inclusion % Area,Neurite % Area,Inclusion per mm^2
IM 341,423,0.2,left,CA2,CA2,WT,mPFF,F,pSyn,0,0,0,0
IM 331,463,0.2,left,CA3,CA3,WT,mPFF,M,pSyn,0,0,0,0
IM 334,463,0.2,left,CA3,CA3,WT,mPFF,F,pSyn,0.000669346,0,0.000669346,0
IM 338,463,0.2,left,CA3,CA3,WT,mPFF,M,pSyn,4.53E-06,0,4.53E-06,0
IM 341,463,0.2,left,CA3,CA3,WT,mPFF,F,pSyn,0,0,0,0
IM 331,512,0.2,left,CB,CB,WT,mPFF,M,pSyn,0,0,0,0
IM 334,512,0.2,left,CB,CB,WT,mPFF,F,pSyn,0,0,0,0
IM 338,512,0.2,left,CB,CB,WT,mPFF,M,pSyn,0,0,0,0
IM 341,512,0.2,left,CB,CB,WT,mPFF,F,pSyn,0,0,0,0
IM 331,"c(986, 971, 964, 484682516)",0.2,left,cc,"c(""ccs"", ""fp"", ""ee"", ""ccb"")",WT,mPFF,M,pSyn,0,0,0,0
IM 334,"c(484682516, 971, 986, 964)",0.2,left,cc,"c(""ccb"", ""fp"", ""ccs"", ""ee"")",WT,mPFF,F,pSyn,0.000566098,0,0.000566098,0
IM 338,"c(971, 484682516, 964, 986)",0.2,left,cc,"c(""fp"", ""ccb"", ""ee"", ""ccs"")",WT,mPFF,M,pSyn,0,0,0,0
IM 341,"c(964, 986, 484682516)",0.2,left,cc,"c(""ee"", ""ccs"", ""ccb"")",WT,mPFF,F,pSyn,0,0,0,0
IM 331,1108,0.2,left,ccg,ccg,WT,mPFF,M,pSyn,0.000149133,0,0.000149133,0
IM 334,1108,0.2,left,ccg,ccg,WT,mPFF,F,pSyn,0.002554183,0,0.002554183,0
IM 338,1108,0.2,left,ccg,ccg,WT,mPFF,M,pSyn,0.002523247,0,0.002523247,0
IM 341,1108,0.2,left,ccg,ccg,WT,mPFF,F,pSyn,0.001773472,0,0.001773472,0
IM 331,"c(559, 551, 544)",0.2,left,CEA,"c(""CEAm"", ""CEAl"", ""CEAc"")",WT,mPFF,M,pSyn,0.000387794,0,0.000387794,0
IM 334,"c(551, 544, 559)",0.2,left,CEA,"c(""CEAl"", ""CEAc"", ""CEAm"")",WT,mPFF,F,pSyn,4.09E-05,0,4.09E-05,0
IM 338,"c(544, 551, 559)",0.2,left,CEA,"c(""CEAc"", ""CEAl"", ""CEAm"")",WT,mPFF,M,pSyn,0.001579177,0,0.001579177,0
IM 341,"c(559, 551, 544)",0.2,left,CEA,"c(""CEAm"", ""CEAl"", ""CEAc"")",WT,mPFF,F,pSyn,8.13E-05,0,8.13E-05,0
IM 331,940,0.2,left,cing,cing,WT,mPFF,M,pSyn,0,0,0,0
IM 334,940,0.2,left,cing,cing,WT,mPFF,F,pSyn,0.000154693,0,0.000154693,0
IM 338,940,0.2,left,cing,cing,WT,mPFF,M,pSyn,9.72E-05,0,9.72E-05,0
IM 341,940,0.2,left,cing,cing,WT,mPFF,F,pSyn,0.000411061,0,0.000411061,0
IM 331,575,0.2,left,CL,CL,WT,mPFF,M,pSyn,0,0,0,0
IM 334,575,0.2,left,CL,CL,WT,mPFF,F,pSyn,0,0,0,0
IM 338,575,0.2,left,CL,CL,WT,mPFF,M,pSyn,0,0,0,0
IM 341,575,0.2,left,CL,CL,WT,mPFF,F,pSyn,0,0,0,0
IM 331,583,0.2,left,CLA,CLA,WT,mPFF,M,pSyn,0,0,0,0
IM 334,583,0.2,left,CLA,CLA,WT,mPFF,F,pSyn,0.000863002,0,0.000863002,0
IM 338,583,0.2,left,CLA,CLA,WT,mPFF,M,pSyn,0,0,0,0
IM 341,583,0.2,left,CLA,CLA,WT,mPFF,F,pSyn,0.000755238,0,0.000755238,0
IM 331,591,0.2,left,CLI,CLI,WT,mPFF,M,pSyn,0,0,0,0
IM 334,591,0.2,left,CLI,CLI,WT,mPFF,F,pSyn,0,0,0,0
IM 338,591,0.2,left,CLI,CLI,WT,mPFF,M,pSyn,0,0,0,0
IM 331,599,0.2,left,CM,CM,WT,mPFF,M,pSyn,0.000488064,0,0.000488064,0
IM 334,599,0.2,left,CM,CM,WT,mPFF,F,pSyn,0,0,0,0
IM 338,599,0.2,left,CM,CM,WT,mPFF,M,pSyn,0,0,0,0
IM 341,599,0.2,left,CM,CM,WT,mPFF,F,pSyn,0,0,0,0
IM 331,639,0.2,left,COA,COAa,WT,mPFF,M,pSyn,0,0,0,0
IM 334,639,0.2,left,COA,COAa,WT,mPFF,F,pSyn,0,0,0,0
IM 338,639,0.2,left,COA,COAa,WT,mPFF,M,pSyn,0,0,0,0
IM 341,639,0.2,left,COA,COAa,WT,mPFF,F,pSyn,0,0,0,0
IM 331,"c(655, 663)",0.2,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,M,pSyn,0,0,0,0
IM 334,"c(655, 663)",0.2,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,F,pSyn,0,0,0,0
IM 338,"c(663, 655)",0.2,left,COAp,"c(""COApm"", ""COApl"")",WT,mPFF,M,pSyn,0,0,0,0
IM 341,"c(655, 663)",0.2,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,F,pSyn,0,0,0,0
IM 331,672,0.2,left,CP,CP,WT,mPFF,M,pSyn,0.000102255,0,0.000102255,0
IM 334,672,0.2,left,CP,CP,WT,mPFF,F,pSyn,0.000656817,0,0.000656817,0
IM 338,672,0.2,left,CP,CP,WT,mPFF,M,pSyn,0.000224123,0,0.000224123,0
IM 341,672,0.2,left,CP,CP,WT,mPFF,F,pSyn,0.000517945,0,0.000517945,0
IM 331,924,0.2,left,cpd,cpd,WT,mPFF,M,pSyn,0,0,0,0
IM 334,924,0.2,left,cpd,cpd,WT,mPFF,F,pSyn,0,0,0,0
IM 338,924,0.2,left,cpd,cpd,WT,mPFF,M,pSyn,0,0,0,0
IM 331,679,0.2,left,CS,CS,WT,mPFF,M,pSyn,0,0,0,0
IM 334,679,0.2,left,CS,CS,WT,mPFF,F,pSyn,0,0,0,0
IM 338,679,0.2,left,CS,CS,WT,mPFF,M,pSyn,0,0,0,0
IM 341,679,0.2,left,CS,CS,WT,mPFF,F,pSyn,0,0,0,0
IM 331,784,0.2,left,cst,cst,WT,mPFF,M,pSyn,0,0,0,0
IM 334,784,0.2,left,cst,cst,WT,mPFF,F,pSyn,0,0,0,0
IM 338,784,0.2,left,cst,cst,WT,mPFF,M,pSyn,0,0,0,0
IM 341,784,0.2,left,cst,cst,WT,mPFF,F,pSyn,0,0,0,0
IM 331,703,0.2,left,CTXsp,CTXsp,WT,mPFF,M,pSyn,0.000341439,0,0.000341439,0
IM 334,703,0.2,left,CTXsp,CTXsp,WT,mPFF,F,pSyn,0.000194489,0,0.000194489,0
IM 338,703,0.2,left,CTXsp,CTXsp,WT,mPFF,M,pSyn,0,0,0,0
IM 341,703,0.2,left,CTXsp,CTXsp,WT,mPFF,F,pSyn,0,0,0,0
IM 331,"c(10704, 632, 10703)",0.2,left,DG,"c(""DG-po"", ""DG-sg"", ""DG-mo"")",WT,mPFF,M,pSyn,0,0,0,0
IM 334,"c(10704, 632, 10703)",0.2,left,DG,"c(""DG-po"", ""DG-sg"", ""DG-mo"")",WT,mPFF,F,pSyn,0,0,0,0
IM 338,"c(10703, 632, 10704)",0.2,left,DG,"c(""DG-mo"", ""DG-sg"", ""DG-po"")",WT,mPFF,M,pSyn,0,0,0,0
IM 341,"c(10703, 632, 10704)",0.2,left,DG,"c(""DG-mo"", ""DG-sg"", ""DG-po"")",WT,mPFF,F,pSyn,0.000353803,0,0.000353803,0
IM 331,443,0.2,left,dhc,dhc,WT,mPFF,M,pSyn,0,0,0,0
IM 334,443,0.2,left,dhc,dhc,WT,mPFF,F,pSyn,0,0,0,0
IM 338,443,0.2,left,dhc,dhc,WT,mPFF,M,pSyn,0,0,0,0
IM 341,443,0.2,left,dhc,dhc,WT,mPFF,F,pSyn,0,0,0,0
IM 331,830,0.2,left,DMH,DMH,WT,mPFF,M,pSyn,0,0,0,0
IM 334,830,0.2,left,DMH,DMH,WT,mPFF,F,pSyn,0,0,0,0
IM 338,830,0.2,left,DMH,DMH,WT,mPFF,M,pSyn,0,0,0,0
IM 341,830,0.2,left,DMH,DMH,WT,mPFF,F,pSyn,0,0,0,0
