mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total % Area,Inclusion % Area,Neurite % Area,Incl per mm^2
IM330,754,0.1,left,OT,OT,WT,mPFF,M,pSyn,0,0,0,0
IM333,754,0.1,left,OT,OT,WT,mPFF,F,pSyn,0,0,0,0
IM337,754,0.1,left,OT,OT,WT,mPFF,M,pSyn,0.000115315,0,0.000115315,0
IM340,754,0.1,left,OT,OT,WT,mPFF,F,pSyn,0,0,0,0
IM330,771,0.1,left,P,P,WT,mPFF,M,pSyn,7.62E-05,0,7.62E-05,0
IM333,771,0.1,left,P,P,WT,mPFF,F,pSyn,0,0,0,0
IM337,771,0.1,left,P,P,WT,mPFF,M,pSyn,0,0,0,0
IM340,771,0.1,left,P,P,WT,mPFF,F,pSyn,0,0,0,0
IM330,1093,0.1,left,P-mot,PRNc,WT,mPFF,M,pSyn,0,0,0,0
IM330,780,0.1,left,PA,PA,WT,mPFF,M,pSyn,0,0,0,0
IM333,780,0.1,left,PA,PA,WT,mPFF,F,pSyn,0,0,0,0
IM337,780,0.1,left,PA,PA,WT,mPFF,M,pSyn,0,0,0,0
IM340,780,0.1,left,PA,PA,WT,mPFF,F,pSyn,0.005380053,0,0.005380053,0
IM330,606826663,0.1,left,Pa4,Pa4,WT,mPFF,M,pSyn,0,0,0,0
IM333,606826663,0.1,left,Pa4,Pa4,WT,mPFF,F,pSyn,0,0,0,0
IM337,606826663,0.1,left,Pa4,Pa4,WT,mPFF,M,pSyn,0,0,0,0
IM340,606826663,0.1,left,Pa4,Pa4,WT,mPFF,F,pSyn,0,0,0,0
IM330,788,0.1,left,PAA,PAA,WT,mPFF,M,pSyn,0,0,0,0
IM333,788,0.1,left,PAA,PAA,WT,mPFF,F,pSyn,0,0,0,0
IM337,788,0.1,left,PAA,PAA,WT,mPFF,M,pSyn,0,0,0,0
IM340,788,0.1,left,PAA,PAA,WT,mPFF,F,pSyn,0,0,0,0
IM330,795,0.1,left,PAG,PAG,WT,mPFF,M,pSyn,0,0,0,0
IM333,795,0.1,left,PAG,PAG,WT,mPFF,F,pSyn,9.55E-05,0,9.55E-05,0
IM337,795,0.1,left,PAG,PAG,WT,mPFF,M,pSyn,0,0,0,0
IM340,795,0.1,left,PAG,PAG,WT,mPFF,F,pSyn,0,0,0,0
IM330,803,0.1,left,PAL,PAL,WT,mPFF,M,pSyn,0,0,0,0
IM333,803,0.1,left,PAL,PAL,WT,mPFF,F,pSyn,0,0,0,0
IM337,803,0.1,left,PAL,PAL,WT,mPFF,M,pSyn,0,0,0,0
IM340,803,0.1,left,PAL,PAL,WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(1031, 1022)",0.1,left,PALd,"c(""GPi"", ""GPe"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(1031, 1022)",0.1,left,PALd,"c(""GPi"", ""GPe"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(1031, 1022)",0.1,left,PALd,"c(""GPi"", ""GPe"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(1022, 1031)",0.1,left,PALd,"c(""GPe"", ""GPi"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,843,0.1,left,PAR,PAR,WT,mPFF,M,pSyn,9.05E-05,0,9.05E-05,0
IM333,843,0.1,left,PAR,PAR,WT,mPFF,F,pSyn,0,0,0,0
IM337,843,0.1,left,PAR,PAR,WT,mPFF,M,pSyn,0,0,0,0
IM340,843,0.1,left,PAR,PAR,WT,mPFF,F,pSyn,0,0,0,0
IM330,874,0.1,left,PBG,PBG,WT,mPFF,M,pSyn,0,0,0,0
IM333,874,0.1,left,PBG,PBG,WT,mPFF,F,pSyn,0,0,0,0
IM337,874,0.1,left,PBG,PBG,WT,mPFF,M,pSyn,0,0,0,0
IM340,874,0.1,left,PBG,PBG,WT,mPFF,F,pSyn,0,0,0,0
IM333,158,0.1,left,pc,pc,WT,mPFF,F,pSyn,0,0,0,0
IM337,158,0.1,left,pc,pc,WT,mPFF,M,pSyn,0,0,0,0
IM340,158,0.1,left,pc,pc,WT,mPFF,F,pSyn,0,0,0,0
IM330,549009223,0.1,left,PC5,PC5,WT,mPFF,M,pSyn,0,0,0,0
IM333,549009223,0.1,left,PC5,PC5,WT,mPFF,F,pSyn,0,0,0,0
IM330,907,0.1,left,PCN,PCN,WT,mPFF,M,pSyn,0,0,0,0
IM333,907,0.1,left,PCN,PCN,WT,mPFF,F,pSyn,0,0,0,0
IM337,907,0.1,left,PCN,PCN,WT,mPFF,M,pSyn,0,0,0,0
IM340,907,0.1,left,PCN,PCN,WT,mPFF,F,pSyn,0,0,0,0
IM330,576073704,0.1,left,PeF,PeF,WT,mPFF,M,pSyn,0,0,0,0
IM333,576073704,0.1,left,PeF,PeF,WT,mPFF,F,pSyn,0,0,0,0
IM337,576073704,0.1,left,PeF,PeF,WT,mPFF,M,pSyn,0,0,0,0
IM340,576073704,0.1,left,PeF,PeF,WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(888, 335, 692, 540)",0.1,left,PERI,"c(""PERI2/3"", ""PERI6a"", ""PERI5"", ""PERI1"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(540, 335, 692, 888)",0.1,left,PERI,"c(""PERI1"", ""PERI6a"", ""PERI5"", ""PERI2/3"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(888, 692, 540, 368, 335)",0.1,left,PERI,"c(""PERI2/3"", ""PERI5"", ""PERI1"", ""PERI6b"", ""PERI6a"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(888, 335, 540, 692, 368)",0.1,left,PERI,"c(""PERI2/3"", ""PERI6a"", ""PERI1"", ""PERI5"", ""PERI6b"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,930,0.1,left,PF,PF,WT,mPFF,M,pSyn,0,0,0,0
IM333,930,0.1,left,PF,PF,WT,mPFF,F,pSyn,0,0,0,0
IM337,930,0.1,left,PF,PF,WT,mPFF,M,pSyn,0,0,0,0
IM340,930,0.1,left,PF,PF,WT,mPFF,F,pSyn,0,0,0,0
IM333,931,0.1,left,PG,PG,WT,mPFF,F,pSyn,0,0,0,0
IM337,931,0.1,left,PG,PG,WT,mPFF,M,pSyn,0,0,0,0
IM340,931,0.1,left,PG,PG,WT,mPFF,F,pSyn,0,0,0,0
IM330,946,0.1,left,PH,PH,WT,mPFF,M,pSyn,0,0,0,0
IM333,946,0.1,left,PH,PH,WT,mPFF,F,pSyn,0,0,0,0
IM337,946,0.1,left,PH,PH,WT,mPFF,M,pSyn,0,0,0,0
IM340,946,0.1,left,PH,PH,WT,mPFF,F,pSyn,0,0,0,0
IM333,560581563,0.1,left,PIL,PIL,WT,mPFF,F,pSyn,0,0,0,0
IM337,560581563,0.1,left,PIL,PIL,WT,mPFF,M,pSyn,0,0,0,0
IM340,560581563,0.1,left,PIL,PIL,WT,mPFF,F,pSyn,0,0,0,0
IM330,961,0.1,left,PIR,PIR,WT,mPFF,M,pSyn,0,0,0,0
IM333,961,0.1,left,PIR,PIR,WT,mPFF,F,pSyn,0,0,0,0
IM337,961,0.1,left,PIR,PIR,WT,mPFF,M,pSyn,3.81E-05,0,3.81E-05,0
IM340,961,0.1,left,PIR,PIR,WT,mPFF,F,pSyn,0.000225812,0,0.000225812,0
IM330,"c(304, 363, 84, 171)",0.1,left,PL,"c(""PL2/3"", ""PL5"", ""PL6a"", ""PL1"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(84, 363, 304, 171)",0.1,left,PL,"c(""PL6a"", ""PL5"", ""PL2/3"", ""PL1"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(84, 304, 171, 363)",0.1,left,PL,"c(""PL6a"", ""PL2/3"", ""PL1"", ""PL5"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(304, 363, 171, 84)",0.1,left,PL,"c(""PL2/3"", ""PL5"", ""PL1"", ""PL6a"")",WT,mPFF,F,pSyn,1.82E-05,0,1.82E-05,0
IM337,753,0.1,left,pm,pm,WT,mPFF,M,pSyn,0,0,0,0
IM340,753,0.1,left,pm,pm,WT,mPFF,F,pSyn,0,0,0,0
IM330,1004,0.1,left,PMv,PMv,WT,mPFF,M,pSyn,0,0,0,0
IM333,1004,0.1,left,PMv,PMv,WT,mPFF,F,pSyn,0,0,0,0
IM337,1004,0.1,left,PMv,PMv,WT,mPFF,M,pSyn,0,0,0,0
IM340,1004,0.1,left,PMv,PMv,WT,mPFF,F,pSyn,0,0,0,0
IM330,1020,0.1,left,PO,PO,WT,mPFF,M,pSyn,0,0,0,0
IM333,1020,0.1,left,PO,PO,WT,mPFF,F,pSyn,0,0,0,0
IM337,1020,0.1,left,PO,PO,WT,mPFF,M,pSyn,0,0,0,0
IM340,1020,0.1,left,PO,PO,WT,mPFF,F,pSyn,1.33E-05,0,1.33E-05,0
IM333,1029,0.1,left,POL,POL,WT,mPFF,F,pSyn,0,0,0,0
IM337,1029,0.1,left,POL,POL,WT,mPFF,M,pSyn,0,0,0,0
IM340,1029,0.1,left,POL,POL,WT,mPFF,F,pSyn,0,0,0,0
IM330,1037,0.1,left,POST,POST,WT,mPFF,M,pSyn,0,0,0,0
IM333,1037,0.1,left,POST,POST,WT,mPFF,F,pSyn,0,0,0,0
IM337,1037,0.1,left,POST,POST,WT,mPFF,M,pSyn,0,0,0,0
IM340,1037,0.1,left,POST,POST,WT,mPFF,F,pSyn,0,0,0,0
IM333,563807435,0.1,left,PoT,PoT,WT,mPFF,F,pSyn,0,0,0,0
IM337,563807435,0.1,left,PoT,PoT,WT,mPFF,M,pSyn,0,0,0,0
IM340,563807435,0.1,left,PoT,PoT,WT,mPFF,F,pSyn,0,0,0,0
IM333,1044,0.1,left,PP,PP,WT,mPFF,F,pSyn,0,0,0,0
IM337,1044,0.1,left,PP,PP,WT,mPFF,M,pSyn,0,0,0,0
IM340,1044,0.1,left,PP,PP,WT,mPFF,F,pSyn,0,0,0,0
IM330,1052,0.1,left,PPN,PPN,WT,mPFF,M,pSyn,0,0,0,0
IM333,1052,0.1,left,PPN,PPN,WT,mPFF,F,pSyn,0,0,0,0
IM337,1052,0.1,left,PPN,PPN,WT,mPFF,M,pSyn,0,0,0,0
IM340,1052,0.1,left,PPN,PPN,WT,mPFF,F,pSyn,0,0,0,0
IM333,1061,0.1,left,PPT,PPT,WT,mPFF,F,pSyn,0,0,0,0
IM337,1061,0.1,left,PPT,PPT,WT,mPFF,M,pSyn,0,0,0,0
IM340,1061,0.1,left,PPT,PPT,WT,mPFF,F,pSyn,0,0,0,0
IM330,1077,0.1,left,PR,PR,WT,mPFF,M,pSyn,0,0,0,0
IM333,1077,0.1,left,PR,PR,WT,mPFF,F,pSyn,0,0,0,0
IM337,1077,0.1,left,PR,PR,WT,mPFF,M,pSyn,0,0,0,0
IM340,1077,0.1,left,PR,PR,WT,mPFF,F,pSyn,0,0,0,0
IM330,50,0.1,left,PRC,PRC,WT,mPFF,M,pSyn,0,0,0,0
IM333,50,0.1,left,PRC,PRC,WT,mPFF,F,pSyn,0,0,0,0
IM337,50,0.1,left,PRC,PRC,WT,mPFF,M,pSyn,0,0,0,0
IM340,50,0.1,left,PRC,PRC,WT,mPFF,F,pSyn,0,0,0,0
IM330,1084,0.1,left,PRE,PRE,WT,mPFF,M,pSyn,0,0,0,0
IM333,1084,0.1,left,PRE,PRE,WT,mPFF,F,pSyn,0,0,0,0
IM337,1084,0.1,left,PRE,PRE,WT,mPFF,M,pSyn,0,0,0,0
IM340,1084,0.1,left,PRE,PRE,WT,mPFF,F,pSyn,0,0,0,0
IM330,146,0.1,left,PRNr,PRNr,WT,mPFF,M,pSyn,2.52E-05,0,2.52E-05,0
IM333,146,0.1,left,PRNr,PRNr,WT,mPFF,F,pSyn,0,0,0,0
IM337,146,0.1,left,PRNr,PRNr,WT,mPFF,M,pSyn,0,0,0,0
IM340,146,0.1,left,PRNr,PRNr,WT,mPFF,F,pSyn,0.001169138,0,0.001169138,0
IM333,484682470,0.1,left,ProS,ProS,WT,mPFF,F,pSyn,0,0,0,0
IM337,484682470,0.1,left,ProS,ProS,WT,mPFF,M,pSyn,5.85E-05,0,5.85E-05,0
IM340,484682470,0.1,left,ProS,ProS,WT,mPFF,F,pSyn,5.35E-05,0,5.35E-05,0
IM330,364,0.1,left,PSTN,PSTN,WT,mPFF,M,pSyn,0,0,0,0
IM333,364,0.1,left,PSTN,PSTN,WT,mPFF,F,pSyn,0,0,0,0
IM337,364,0.1,left,PSTN,PSTN,WT,mPFF,M,pSyn,0,0,0,0
IM340,364,0.1,left,PSTN,PSTN,WT,mPFF,F,pSyn,0,0,0,0
IM330,7,0.1,left,PSV,PSV,WT,mPFF,M,pSyn,0,0,0,0
IM330,149,0.1,left,PVT,PVT,WT,mPFF,M,pSyn,0,0,0,0
IM333,149,0.1,left,PVT,PVT,WT,mPFF,F,pSyn,0.001799437,0,0.001799437,0
IM337,149,0.1,left,PVT,PVT,WT,mPFF,M,pSyn,0,0,0,0
IM340,149,0.1,left,PVT,PVT,WT,mPFF,F,pSyn,0,0,0,0
IM330,118,0.1,left,PVZ,PVi,WT,mPFF,M,pSyn,0,0,0,0
IM333,118,0.1,left,PVZ,PVi,WT,mPFF,F,pSyn,0,0,0,0
IM337,118,0.1,left,PVZ,PVi,WT,mPFF,M,pSyn,0,0,0,0
IM340,118,0.1,left,PVZ,PVi,WT,mPFF,F,pSyn,0,0,0,0
IM330,190,0.1,left,py,py,WT,mPFF,M,pSyn,0.000283383,0,0.000283383,0
IM330,181,0.1,left,RE,RE,WT,mPFF,M,pSyn,0,0,0,0
IM333,181,0.1,left,RE,RE,WT,mPFF,F,pSyn,0,0,0,0
IM337,181,0.1,left,RE,RE,WT,mPFF,M,pSyn,0.000312685,0,0.000312685,0
IM340,181,0.1,left,RE,RE,WT,mPFF,F,pSyn,0,0,0,0
IM330,189,0.1,left,RH,RH,WT,mPFF,M,pSyn,0,0,0,0
IM333,189,0.1,left,RH,RH,WT,mPFF,F,pSyn,0,0,0,0
IM337,189,0.1,left,RH,RH,WT,mPFF,M,pSyn,0,0,0,0
IM340,189,0.1,left,RH,RH,WT,mPFF,F,pSyn,0,0,0,0
IM333,197,0.1,left,RL,RL,WT,mPFF,F,pSyn,0,0,0,0
IM337,197,0.1,left,RL,RL,WT,mPFF,M,pSyn,0,0,0,0
IM340,197,0.1,left,RL,RL,WT,mPFF,F,pSyn,0,0,0,0
IM333,214,0.1,left,RN,RN,WT,mPFF,F,pSyn,0,0,0,0
IM337,214,0.1,left,RN,RN,WT,mPFF,M,pSyn,0,0,0,0
IM340,214,0.1,left,RN,RN,WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(279, 774, 965, 906, 671)",0.1,left,RSPagl,"c(""RSPagl6b"", ""RSPagl5"", ""RSPagl2/3"", ""RSPagl6a"", ""RSPagl1"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(671, 774, 965, 279, 906)",0.1,left,RSPagl,"c(""RSPagl1"", ""RSPagl5"", ""RSPagl2/3"", ""RSPagl6b"", ""RSPagl6a"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(671, 774, 279, 965, 906)",0.1,left,RSPagl,"c(""RSPagl1"", ""RSPagl5"", ""RSPagl6b"", ""RSPagl2/3"", ""RSPagl6a"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(671, 774, 279, 906, 965)",0.1,left,RSPagl,"c(""RSPagl1"", ""RSPagl5"", ""RSPagl6b"", ""RSPagl6a"", ""RSPagl2/3"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(610, 442, 274, 330, 434)",0.1,left,RSPd,"c(""RSPd5"", ""RSPd1"", ""RSPd6a"", ""RSPd6b"", ""RSPd2/3"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(274, 610, 434, 330, 442)",0.1,left,RSPd,"c(""RSPd6a"", ""RSPd5"", ""RSPd2/3"", ""RSPd6b"", ""RSPd1"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(330, 274, 610, 434, 442)",0.1,left,RSPd,"c(""RSPd6b"", ""RSPd6a"", ""RSPd5"", ""RSPd2/3"", ""RSPd1"")",WT,mPFF,M,pSyn,0.000270327,0,0.000270327,0
IM340,"c(434, 330, 442, 610, 274)",0.1,left,RSPd,"c(""RSPd2/3"", ""RSPd6b"", ""RSPd1"", ""RSPd5"", ""RSPd6a"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(622, 590, 687, 542, 430)",0.1,left,RSPv,"c(""RSPv6b"", ""RSPv6a"", ""RSPv5"", ""RSPv1"", ""RSPv2/3"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(687, 622, 590, 542, 430)",0.1,left,RSPv,"c(""RSPv5"", ""RSPv6b"", ""RSPv6a"", ""RSPv1"", ""RSPv2/3"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(622, 542, 590, 687, 430)",0.1,left,RSPv,"c(""RSPv6b"", ""RSPv1"", ""RSPv6a"", ""RSPv5"", ""RSPv2/3"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(687, 622, 590, 542, 430)",0.1,left,RSPv,"c(""RSPv5"", ""RSPv6b"", ""RSPv6a"", ""RSPv1"", ""RSPv2/3"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,262,0.1,left,RT,RT,WT,mPFF,M,pSyn,0,0,0,0
IM333,262,0.1,left,RT,RT,WT,mPFF,F,pSyn,0,0,0,0
IM337,262,0.1,left,RT,RT,WT,mPFF,M,pSyn,0,0,0,0
IM340,262,0.1,left,RT,RT,WT,mPFF,F,pSyn,0,0,0,0
IM330,863,0.1,left,rust,rust,WT,mPFF,M,pSyn,9.10E-05,0,9.10E-05,0
IM333,863,0.1,left,rust,rust,WT,mPFF,F,pSyn,0,0,0,0
IM337,863,0.1,left,rust,rust,WT,mPFF,M,pSyn,0,0,0,0
IM340,863,0.1,left,rust,rust,WT,mPFF,F,pSyn,0,0,0,0
IM330,271,0.1,left,SAG,SAG,WT,mPFF,M,pSyn,0,0,0,0
IM333,271,0.1,left,SAG,SAG,WT,mPFF,F,pSyn,0,0,0,0
IM337,271,0.1,left,SAG,SAG,WT,mPFF,M,pSyn,0,0,0,0
IM340,271,0.1,left,SAG,SAG,WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(26, 42, 17, 10)",0.1,left,SCm,"c(""SCdg"", ""SCdw"", ""SCiw"", ""SCig"")",WT,mPFF,M,pSyn,1.21E-05,0,1.21E-05,0
IM333,"c(42, 17, 26, 10)",0.1,left,SCm,"c(""SCdw"", ""SCiw"", ""SCdg"", ""SCig"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(17, 42, 26, 10)",0.1,left,SCm,"c(""SCiw"", ""SCdw"", ""SCdg"", ""SCig"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(26, 10, 17, 42)",0.1,left,SCm,"c(""SCdg"", ""SCig"", ""SCiw"", ""SCdw"")",WT,mPFF,F,pSyn,3.52E-05,0,3.52E-05,0
IM333,599626923,0.1,left,SCO,SCO,WT,mPFF,F,pSyn,0,0,0,0
IM337,599626923,0.1,left,SCO,SCO,WT,mPFF,M,pSyn,0,0,0,0
IM340,599626923,0.1,left,SCO,SCO,WT,mPFF,F,pSyn,0,0,0,0
IM330,326,0.1,left,scp,scp,WT,mPFF,M,pSyn,0,0,0,0
IM333,326,0.1,left,scp,scp,WT,mPFF,F,pSyn,0,0,0,0
IM337,326,0.1,left,scp,scp,WT,mPFF,M,pSyn,0,0,0,0
IM340,326,0.1,left,scp,scp,WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(851, 842, 834)",0.1,left,SCs,"c(""SCop"", ""SCsg"", ""SCzo"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(834, 851, 842)",0.1,left,SCs,"c(""SCzo"", ""SCop"", ""SCsg"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(834, 851, 842)",0.1,left,SCs,"c(""SCzo"", ""SCop"", ""SCsg"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(834, 842, 851)",0.1,left,SCs,"c(""SCzo"", ""SCsg"", ""SCop"")",WT,mPFF,F,pSyn,0.00113711,0,0.00113711,0
IM330,866,0.1,left,sctv,sctv,WT,mPFF,M,pSyn,0,0,0,0
IM333,866,0.1,left,sctv,sctv,WT,mPFF,F,pSyn,0,0,0,0
IM330,484682512,0.1,left,scwm,scwm,WT,mPFF,M,pSyn,0,0,0,0
IM333,484682512,0.1,left,scwm,scwm,WT,mPFF,F,pSyn,0,0,0,0
IM337,484682512,0.1,left,scwm,scwm,WT,mPFF,M,pSyn,0.007589709,0,0.007589709,0
IM340,484682512,0.1,left,scwm,scwm,WT,mPFF,F,pSyn,0,0,0,0
IM333,325,0.1,left,SGN,SGN,WT,mPFF,F,pSyn,0,0,0,0
IM337,325,0.1,left,SGN,SGN,WT,mPFF,M,pSyn,0,0,0,0
IM340,325,0.1,left,SGN,SGN,WT,mPFF,F,pSyn,0,0,0,0
IM330,333,0.1,left,SH,SH,WT,mPFF,M,pSyn,0,0,0,0
IM333,333,0.1,left,SH,SH,WT,mPFF,F,pSyn,0,0,0,0
IM337,333,0.1,left,SH,SH,WT,mPFF,M,pSyn,0,0,0,0
IM340,333,0.1,left,SH,SH,WT,mPFF,F,pSyn,0,0,0,0
IM330,342,0.1,left,SI,SI,WT,mPFF,M,pSyn,0,0,0,0
IM333,342,0.1,left,SI,SI,WT,mPFF,F,pSyn,0,0,0,0
IM337,342,0.1,left,SI,SI,WT,mPFF,M,pSyn,0,0,0,0
IM340,342,0.1,left,SI,SI,WT,mPFF,F,pSyn,0,0,0,0
IM330,802,0.1,left,sm,sm,WT,mPFF,M,pSyn,0,0,0,0
IM333,802,0.1,left,sm,sm,WT,mPFF,F,pSyn,0,0,0,0
IM337,802,0.1,left,sm,sm,WT,mPFF,M,pSyn,0,0,0,0
IM340,802,0.1,left,sm,sm,WT,mPFF,F,pSyn,0.00057977,0,0.00057977,0
IM330,366,0.1,left,SMT,SMT,WT,mPFF,M,pSyn,0,0,0,0
IM333,366,0.1,left,SMT,SMT,WT,mPFF,F,pSyn,0,0,0,0
IM337,366,0.1,left,SMT,SMT,WT,mPFF,M,pSyn,0,0,0,0
IM340,366,0.1,left,SMT,SMT,WT,mPFF,F,pSyn,0.000365,0,0.000365,0
IM330,122,0.1,left,SOC,POR,WT,mPFF,M,pSyn,0.000203501,0,0.000203501,0
IM333,122,0.1,left,SOC,POR,WT,mPFF,F,pSyn,0,0,0,0
IM330,609,0.1,left,SPA,SPA,WT,mPFF,M,pSyn,0,0,0,0
IM333,609,0.1,left,SPA,SPA,WT,mPFF,F,pSyn,0,0,0,0
IM340,609,0.1,left,SPA,SPA,WT,mPFF,F,pSyn,0,0,0,0
IM330,414,0.1,left,SPF,SPFm,WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(422, 414)",0.1,left,SPF,"c(""SPFp"", ""SPFm"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(422, 414)",0.1,left,SPF,"c(""SPFp"", ""SPFm"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(422, 414)",0.1,left,SPF,"c(""SPFp"", ""SPFm"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(1038, 1062, 981, 1070, 201, 1047)",0.1,left,SSp-bfd,"c(""SSp-bfd6a"", ""SSp-bfd6b"", ""SSp-bfd1"", ""SSp-bfd5"", ""SSp-bfd2/3"", ""SSp-bfd4"")",WT,mPFF,M,pSyn,0.000378149,0,0.000378149,0
IM333,"c(201, 1038, 981, 1070, 1047, 1062)",0.1,left,SSp-bfd,"c(""SSp-bfd2/3"", ""SSp-bfd6a"", ""SSp-bfd1"", ""SSp-bfd5"", ""SSp-bfd4"", ""SSp-bfd6b"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(1038, 1062, 201, 1047, 1070, 981)",0.1,left,SSp-bfd,"c(""SSp-bfd6a"", ""SSp-bfd6b"", ""SSp-bfd2/3"", ""SSp-bfd4"", ""SSp-bfd5"", ""SSp-bfd1"")",WT,mPFF,M,pSyn,4.62E-05,0,4.62E-05,0
IM340,"c(201, 981, 1047, 1062, 1038, 1070)",0.1,left,SSp-bfd,"c(""SSp-bfd2/3"", ""SSp-bfd1"", ""SSp-bfd4"", ""SSp-bfd6b"", ""SSp-bfd6a"", ""SSp-bfd5"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(1128, 510, 478)",0.1,left,SSp-ll,"c(""SSp-ll5"", ""SSp-ll6b"", ""SSp-ll6a"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(478, 510)",0.1,left,SSp-ll,"c(""SSp-ll6a"", ""SSp-ll6b"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(478, 1128, 510)",0.1,left,SSp-ll,"c(""SSp-ll6a"", ""SSp-ll5"", ""SSp-ll6b"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(510, 478)",0.1,left,SSp-ll,"c(""SSp-ll6b"", ""SSp-ll6a"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(657, 950, 1102, 2, 974, 878)",0.1,left,SSp-m,"c(""SSp-m2/3"", ""SSp-m4"", ""SSp-m6a"", ""SSp-m6b"", ""SSp-m5"", ""SSp-m1"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(657, 1102, 878, 974, 950, 2)",0.1,left,SSp-m,"c(""SSp-m2/3"", ""SSp-m6a"", ""SSp-m1"", ""SSp-m5"", ""SSp-m4"", ""SSp-m6b"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(1102, 974, 950, 657, 2, 878)",0.1,left,SSp-m,"c(""SSp-m6a"", ""SSp-m5"", ""SSp-m4"", ""SSp-m2/3"", ""SSp-m6b"", ""SSp-m1"")",WT,mPFF,M,pSyn,4.03E-06,0,4.03E-06,0
IM340,"c(657, 878, 1102, 2, 974, 950)",0.1,left,SSp-m,"c(""SSp-m2/3"", ""SSp-m1"", ""SSp-m6a"", ""SSp-m6b"", ""SSp-m5"", ""SSp-m4"")",WT,mPFF,F,pSyn,8.11E-06,0,8.11E-06,0
IM330,"c(1111, 9, 670, 461, 1086, 1006)",0.1,left,SSp-tr,"c(""SSp-tr5"", ""SSp-tr6a"", ""SSp-tr2/3"", ""SSp-tr6b"", ""SSp-tr4"", ""SSp-tr1"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(9, 1006, 1086, 461, 670, 1111)",0.1,left,SSp-tr,"c(""SSp-tr6a"", ""SSp-tr1"", ""SSp-tr4"", ""SSp-tr6b"", ""SSp-tr2/3"", ""SSp-tr5"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(9, 461, 1086, 1111, 1006, 670)",0.1,left,SSp-tr,"c(""SSp-tr6a"", ""SSp-tr6b"", ""SSp-tr4"", ""SSp-tr5"", ""SSp-tr1"", ""SSp-tr2/3"")",WT,mPFF,M,pSyn,8.55E-05,0,8.55E-05,0
IM340,"c(670, 1006, 1111, 461, 1086, 9)",0.1,left,SSp-tr,"c(""SSp-tr2/3"", ""SSp-tr1"", ""SSp-tr5"", ""SSp-tr6b"", ""SSp-tr4"", ""SSp-tr6a"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(1026, 854, 577, 450, 945, 625)",0.1,left,SSp-ul,"c(""SSp-ul6b"", ""SSp-ul2/3"", ""SSp-ul4"", ""SSp-ul1"", ""SSp-ul6a"", ""SSp-ul5"")",WT,mPFF,M,pSyn,0,0,0,0
