mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total % Area,Inclusion % Area,Neurite % Area,Incl per mm^2
IM340,"c(334, 327)",0.1,left,BMA,"c(""BMAp"", ""BMAa"")",WT,mPFF,F,pSyn,0,0,0,0
IM333,916,0.1,left,bsc,bsc,WT,mPFF,F,pSyn,0,0,0,0
IM337,916,0.1,left,bsc,bsc,WT,mPFF,M,pSyn,0,0,0,0
IM340,916,0.1,left,bsc,bsc,WT,mPFF,F,pSyn,0,0,0,0
IM330,382,0.1,left,CA1,CA1,WT,mPFF,M,pSyn,0,0,0,0
IM333,382,0.1,left,CA1,CA1,WT,mPFF,F,pSyn,0,0,0,0
IM337,382,0.1,left,CA1,CA1,WT,mPFF,M,pSyn,1.88E-05,0,1.88E-05,0
IM340,382,0.1,left,CA1,CA1,WT,mPFF,F,pSyn,2.01E-05,0,2.01E-05,0
IM330,423,0.1,left,CA2,CA2,WT,mPFF,M,pSyn,0,0,0,0
IM333,423,0.1,left,CA2,CA2,WT,mPFF,F,pSyn,0,0,0,0
IM337,423,0.1,left,CA2,CA2,WT,mPFF,M,pSyn,0,0,0,0
IM340,423,0.1,left,CA2,CA2,WT,mPFF,F,pSyn,0,0,0,0
IM330,463,0.1,left,CA3,CA3,WT,mPFF,M,pSyn,0,0,0,0
IM333,463,0.1,left,CA3,CA3,WT,mPFF,F,pSyn,0,0,0,0
IM337,463,0.1,left,CA3,CA3,WT,mPFF,M,pSyn,0,0,0,0
IM340,463,0.1,left,CA3,CA3,WT,mPFF,F,pSyn,1.88E-05,0,1.88E-05,0
IM330,512,0.1,left,CB,CB,WT,mPFF,M,pSyn,0,0,0,0
IM333,512,0.1,left,CB,CB,WT,mPFF,F,pSyn,0,0,0,0
IM337,512,0.1,left,CB,CB,WT,mPFF,M,pSyn,0,0,0,0
IM340,512,0.1,left,CB,CB,WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(986, 484682516, 964)",0.1,left,cc,"c(""ccs"", ""ccb"", ""ee"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(484682516, 964, 986, 971)",0.1,left,cc,"c(""ccb"", ""ee"", ""ccs"", ""fp"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(964, 484682516, 971, 986)",0.1,left,cc,"c(""ee"", ""ccb"", ""fp"", ""ccs"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(484682516, 971, 986, 964)",0.1,left,cc,"c(""ccb"", ""fp"", ""ccs"", ""ee"")",WT,mPFF,F,pSyn,0.001225912,0,0.001225912,0
IM330,1108,0.1,left,ccg,ccg,WT,mPFF,M,pSyn,0,0,0,0
IM333,1108,0.1,left,ccg,ccg,WT,mPFF,F,pSyn,9.98E-06,0,9.98E-06,0
IM337,1108,0.1,left,ccg,ccg,WT,mPFF,M,pSyn,0.000462011,0,0.000462011,0
IM340,1108,0.1,left,ccg,ccg,WT,mPFF,F,pSyn,2.35E-05,0,2.35E-05,0
IM330,"c(559, 544, 551)",0.1,left,CEA,"c(""CEAm"", ""CEAc"", ""CEAl"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(551, 559, 544)",0.1,left,CEA,"c(""CEAl"", ""CEAm"", ""CEAc"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(551, 559, 544)",0.1,left,CEA,"c(""CEAl"", ""CEAm"", ""CEAc"")",WT,mPFF,M,pSyn,1.68E-05,0,1.68E-05,0
IM340,"c(559, 544, 551)",0.1,left,CEA,"c(""CEAm"", ""CEAc"", ""CEAl"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,940,0.1,left,cing,cing,WT,mPFF,M,pSyn,0,0,0,0
IM333,940,0.1,left,cing,cing,WT,mPFF,F,pSyn,0,0,0,0
IM337,940,0.1,left,cing,cing,WT,mPFF,M,pSyn,0.000686678,0,0.000686678,0
IM340,940,0.1,left,cing,cing,WT,mPFF,F,pSyn,0,0,0,0
IM330,575,0.1,left,CL,CL,WT,mPFF,M,pSyn,0,0,0,0
IM333,575,0.1,left,CL,CL,WT,mPFF,F,pSyn,0,0,0,0
IM337,575,0.1,left,CL,CL,WT,mPFF,M,pSyn,0,0,0,0
IM340,575,0.1,left,CL,CL,WT,mPFF,F,pSyn,0,0,0,0
IM330,583,0.1,left,CLA,CLA,WT,mPFF,M,pSyn,0,0,0,0
IM333,583,0.1,left,CLA,CLA,WT,mPFF,F,pSyn,0,0,0,0
IM337,583,0.1,left,CLA,CLA,WT,mPFF,M,pSyn,0,0,0,0
IM340,583,0.1,left,CLA,CLA,WT,mPFF,F,pSyn,0,0,0,0
IM337,591,0.1,left,CLI,CLI,WT,mPFF,M,pSyn,0,0,0,0
IM340,591,0.1,left,CLI,CLI,WT,mPFF,F,pSyn,0,0,0,0
IM330,599,0.1,left,CM,CM,WT,mPFF,M,pSyn,0,0,0,0
IM333,599,0.1,left,CM,CM,WT,mPFF,F,pSyn,0,0,0,0
IM337,599,0.1,left,CM,CM,WT,mPFF,M,pSyn,0,0,0,0
IM340,599,0.1,left,CM,CM,WT,mPFF,F,pSyn,0,0,0,0
IM330,639,0.1,left,COA,COAa,WT,mPFF,M,pSyn,0,0,0,0
IM333,639,0.1,left,COA,COAa,WT,mPFF,F,pSyn,0,0,0,0
IM337,639,0.1,left,COA,COAa,WT,mPFF,M,pSyn,7.31E-05,0,7.31E-05,0
IM340,639,0.1,left,COA,COAa,WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(663, 655)",0.1,left,COAp,"c(""COApm"", ""COApl"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(663, 655)",0.1,left,COAp,"c(""COApm"", ""COApl"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(655, 663)",0.1,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(655, 663)",0.1,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,672,0.1,left,CP,CP,WT,mPFF,M,pSyn,5.18E-06,0,5.18E-06,0
IM333,672,0.1,left,CP,CP,WT,mPFF,F,pSyn,0,0,0,0
IM337,672,0.1,left,CP,CP,WT,mPFF,M,pSyn,5.83E-05,0,5.83E-05,0
IM340,672,0.1,left,CP,CP,WT,mPFF,F,pSyn,5.96E-06,0,5.96E-06,0
IM333,924,0.1,left,cpd,cpd,WT,mPFF,F,pSyn,0,0,0,0
IM337,924,0.1,left,cpd,cpd,WT,mPFF,M,pSyn,0,0,0,0
IM340,924,0.1,left,cpd,cpd,WT,mPFF,F,pSyn,0,0,0,0
IM330,679,0.1,left,CS,CS,WT,mPFF,M,pSyn,0,0,0,0
IM333,679,0.1,left,CS,CS,WT,mPFF,F,pSyn,0,0,0,0
IM337,679,0.1,left,CS,CS,WT,mPFF,M,pSyn,0,0,0,0
IM340,679,0.1,left,CS,CS,WT,mPFF,F,pSyn,0,0,0,0
IM330,784,0.1,left,cst,cst,WT,mPFF,M,pSyn,0,0,0,0
IM333,784,0.1,left,cst,cst,WT,mPFF,F,pSyn,0,0,0,0
IM337,784,0.1,left,cst,cst,WT,mPFF,M,pSyn,0,0,0,0
IM340,784,0.1,left,cst,cst,WT,mPFF,F,pSyn,0,0,0,0
IM330,703,0.1,left,CTXsp,CTXsp,WT,mPFF,M,pSyn,0,0,0,0
IM333,703,0.1,left,CTXsp,CTXsp,WT,mPFF,F,pSyn,0,0,0,0
IM337,703,0.1,left,CTXsp,CTXsp,WT,mPFF,M,pSyn,0,0,0,0
IM340,703,0.1,left,CTXsp,CTXsp,WT,mPFF,F,pSyn,0,0,0,0
IM330,616,0.1,left,CUN,CUN,WT,mPFF,M,pSyn,0,0,0,0
IM330,"c(10704, 10703, 632)",0.1,left,DG,"c(""DG-po"", ""DG-mo"", ""DG-sg"")",WT,mPFF,M,pSyn,0.001281257,0,0.001281257,0
IM333,"c(10704, 632, 10703)",0.1,left,DG,"c(""DG-po"", ""DG-sg"", ""DG-mo"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(10703, 10704, 632)",0.1,left,DG,"c(""DG-mo"", ""DG-po"", ""DG-sg"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(10703, 632, 10704)",0.1,left,DG,"c(""DG-mo"", ""DG-sg"", ""DG-po"")",WT,mPFF,F,pSyn,2.76E-05,0,2.76E-05,0
IM330,443,0.1,left,dhc,dhc,WT,mPFF,M,pSyn,0,0,0,0
IM333,443,0.1,left,dhc,dhc,WT,mPFF,F,pSyn,0,0,0,0
IM337,443,0.1,left,dhc,dhc,WT,mPFF,M,pSyn,0,0,0,0
IM340,443,0.1,left,dhc,dhc,WT,mPFF,F,pSyn,0,0,0,0
IM330,830,0.1,left,DMH,DMH,WT,mPFF,M,pSyn,0,0,0,0
IM333,830,0.1,left,DMH,DMH,WT,mPFF,F,pSyn,0,0,0,0
IM337,830,0.1,left,DMH,DMH,WT,mPFF,M,pSyn,0,0,0,0
IM340,830,0.1,left,DMH,DMH,WT,mPFF,F,pSyn,0,0,0,0
IM330,814,0.1,left,DP,DP,WT,mPFF,M,pSyn,0,0,0,0
IM333,814,0.1,left,DP,DP,WT,mPFF,F,pSyn,0,0,0,0
IM337,814,0.1,left,DP,DP,WT,mPFF,M,pSyn,0,0,0,0
IM340,814,0.1,left,DP,DP,WT,mPFF,F,pSyn,0,0,0,0
IM330,872,0.1,left,DR,DR,WT,mPFF,M,pSyn,0,0,0,0
IM333,872,0.1,left,DR,DR,WT,mPFF,F,pSyn,0,0,0,0
IM337,872,0.1,left,DR,DR,WT,mPFF,M,pSyn,0,0,0,0
IM340,872,0.1,left,DR,DR,WT,mPFF,F,pSyn,0,0,0,0
IM333,812,0.1,left,dscp,dscp,WT,mPFF,F,pSyn,0,0,0,0
IM337,812,0.1,left,dscp,dscp,WT,mPFF,M,pSyn,0,0,0,0
IM340,812,0.1,left,dscp,dscp,WT,mPFF,F,pSyn,0,0,0,0
IM330,579,0.1,left,ec,ec,WT,mPFF,M,pSyn,0,0,0,0
IM333,579,0.1,left,ec,ec,WT,mPFF,F,pSyn,0,0,0,0
IM337,579,0.1,left,ec,ec,WT,mPFF,M,pSyn,0.000167121,0,0.000167121,0
