mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total Pathology % Area ,Inclusion Pathology % Area,Neurite Pathology % Area,Inclusion Count per mm^2 (log10)
IM 140,"c(675, 694, 704, 800)",0.5,left,AIv,"c(""AIv6a"", ""AIv2/3"", ""AIv1"", ""AIv5"")",WT,mPFF,M,pSyn,0.006866208,0,0.006866208,0
IM 133,466,0.5,left,alv,alv,WT,mPFF,F,pSyn,0.000659737,0,0.000659737,0
IM 134,466,0.5,left,alv,alv,WT,mPFF,F,pSyn,2.75E-05,0,2.75E-05,0
IM 135,466,0.5,left,alv,alv,WT,mPFF,F,pSyn,0.000500982,0,0.000500982,0
IM 136,466,0.5,left,alv,alv,WT,mPFF,F,pSyn,0,0,0,0
IM 137,466,0.5,left,alv,alv,WT,mPFF,M,pSyn,0.001297048,0,0.001297048,0
IM 138,466,0.5,left,alv,alv,WT,mPFF,M,pSyn,0,0,0,0
IM 139,466,0.5,left,alv,alv,WT,mPFF,M,pSyn,0.004111087,0,0.004111087,0
IM 140,466,0.5,left,alv,alv,WT,mPFF,M,pSyn,0,0,0,0
IM 133,884,0.5,left,amc,amc,WT,mPFF,F,pSyn,0.05079342,0,0.05079342,0
IM 134,884,0.5,left,amc,amc,WT,mPFF,F,pSyn,0.01160726,0,0.01160726,0
IM 135,884,0.5,left,amc,amc,WT,mPFF,F,pSyn,0.020264783,0,0.020264783,0
IM 136,884,0.5,left,amc,amc,WT,mPFF,F,pSyn,0.004455959,0,0.004455959,0
IM 137,884,0.5,left,amc,amc,WT,mPFF,M,pSyn,0.053349162,0,0.053349162,0
IM 138,884,0.5,left,amc,amc,WT,mPFF,M,pSyn,0.065709886,0,0.065709886,0
IM 139,884,0.5,left,amc,amc,WT,mPFF,M,pSyn,0.039622044,0,0.039622044,0
IM 140,884,0.5,left,amc,amc,WT,mPFF,M,pSyn,0.006876706,0,0.006876706,0
IM 133,159,0.5,left,AON,AON,WT,mPFF,F,pSyn,0.000128152,0,0.000128152,0
IM 134,159,0.5,left,AON,AON,WT,mPFF,F,pSyn,0.00020779,0,0.00020779,0
IM 135,159,0.5,left,AON,AON,WT,mPFF,F,pSyn,0.000134834,0,0.000134834,0
IM 136,159,0.5,left,AON,AON,WT,mPFF,F,pSyn,0.00015057,0,0.00015057,0
IM 137,159,0.5,left,AON,AON,WT,mPFF,M,pSyn,0.000233859,0,0.000233859,0
IM 138,159,0.5,left,AON,AON,WT,mPFF,M,pSyn,0.000283,0,0.000283,0
IM 139,159,0.5,left,AON,AON,WT,mPFF,M,pSyn,0.000348766,0,0.000348766,0
IM 140,159,0.5,left,AON,AON,WT,mPFF,M,pSyn,0.000109616,0,0.000109616,0
IM 133,215,0.5,left,APN,APN,WT,mPFF,F,pSyn,0.000622047,0,0.000622047,0
IM 134,215,0.5,left,APN,APN,WT,mPFF,F,pSyn,0.000175383,0,0.000175383,0
IM 135,215,0.5,left,APN,APN,WT,mPFF,F,pSyn,0,0,0,0
IM 136,215,0.5,left,APN,APN,WT,mPFF,F,pSyn,0,0,0,0
IM 137,215,0.5,left,APN,APN,WT,mPFF,M,pSyn,3.70E-05,0,3.70E-05,0
IM 138,215,0.5,left,APN,APN,WT,mPFF,M,pSyn,0,0,0,0
IM 139,215,0.5,left,APN,APN,WT,mPFF,M,pSyn,0,0,0,0
IM 140,215,0.5,left,APN,APN,WT,mPFF,M,pSyn,0,0,0,0
IM 133,484682508,0.5,left,APr,APr,WT,mPFF,F,pSyn,0,0,0,0
IM 134,484682508,0.5,left,APr,APr,WT,mPFF,F,pSyn,0.000704471,0,0.000704471,0
IM 135,484682508,0.5,left,APr,APr,WT,mPFF,F,pSyn,0.000222485,0,0.000222485,0
IM 136,484682508,0.5,left,APr,APr,WT,mPFF,F,pSyn,0,0,0,0
IM 137,484682508,0.5,left,APr,APr,WT,mPFF,M,pSyn,0,0,0,0
IM 138,484682508,0.5,left,APr,APr,WT,mPFF,M,pSyn,0,0,0,0
IM 139,484682508,0.5,left,APr,APr,WT,mPFF,M,pSyn,0.001476623,0,0.001476623,0
IM 140,484682508,0.5,left,APr,APr,WT,mPFF,M,pSyn,0,0,0,0
IM 133,484682524,0.5,left,ar,ar,WT,mPFF,F,pSyn,0.001310927,0,0.001310927,0
IM 134,484682524,0.5,left,ar,ar,WT,mPFF,F,pSyn,0.004518334,0,0.004518334,0
IM 135,484682524,0.5,left,ar,ar,WT,mPFF,F,pSyn,0.002389737,0,0.002389737,0
IM 136,484682524,0.5,left,ar,ar,WT,mPFF,F,pSyn,0.000106354,0,0.000106354,0
IM 137,484682524,0.5,left,ar,ar,WT,mPFF,M,pSyn,0.000805789,0,0.000805789,0
IM 138,484682524,0.5,left,ar,ar,WT,mPFF,M,pSyn,0.011361143,0,0.011361143,0
IM 139,484682524,0.5,left,ar,ar,WT,mPFF,M,pSyn,0.012527943,0,0.012527943,0
IM 140,484682524,0.5,left,ar,ar,WT,mPFF,M,pSyn,0.003615091,0,0.003615091,0
IM 133,223,0.5,left,ARH,ARH,WT,mPFF,F,pSyn,5.73E-05,0,5.73E-05,0
IM 134,223,0.5,left,ARH,ARH,WT,mPFF,F,pSyn,0.000363832,0,0.000363832,0
IM 135,223,0.5,left,ARH,ARH,WT,mPFF,F,pSyn,0.000826572,0,0.000826572,0
IM 136,223,0.5,left,ARH,ARH,WT,mPFF,F,pSyn,0,0,0,0
IM 137,223,0.5,left,ARH,ARH,WT,mPFF,M,pSyn,0,0,0,0
IM 138,223,0.5,left,ARH,ARH,WT,mPFF,M,pSyn,0,0,0,0
IM 139,223,0.5,left,ARH,ARH,WT,mPFF,M,pSyn,0,0,0,0
IM 140,223,0.5,left,ARH,ARH,WT,mPFF,M,pSyn,0,0,0,0
IM 133,231,0.5,left,AT,AT,WT,mPFF,F,pSyn,0,0,0,0
IM 134,231,0.5,left,AT,AT,WT,mPFF,F,pSyn,0,0,0,0
IM 135,231,0.5,left,AT,AT,WT,mPFF,F,pSyn,0,0,0,0
IM 136,231,0.5,left,AT,AT,WT,mPFF,F,pSyn,0,0,0,0
IM 138,231,0.5,left,AT,AT,WT,mPFF,M,pSyn,0,0,0,0
IM 139,231,0.5,left,AT,AT,WT,mPFF,M,pSyn,0,0,0,0
IM 140,231,0.5,left,AT,AT,WT,mPFF,M,pSyn,0,0,0,0
IM 133,"c(527, 252, 678, 600)",0.5,left,AUDd,"c(""AUDd1"", ""AUDd5"", ""AUDd4"", ""AUDd2/3"")",WT,mPFF,F,pSyn,0.000585882,0,0.000585882,0
