mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total Pathology % Area ,Inclusion Pathology % Area,Neurite Pathology % Area,Inclusion Count per mm^2 (log10)
IM 99,599626923,3,right,SCO,SCO,WT,mPFF,M,pSyn,0,0,0,0
IM 100,326,3,right,scp,scp,WT,mPFF,M,pSyn,0.015860474,0,0.015860474,0
IM 101,326,3,right,scp,scp,WT,mPFF,F,pSyn,0,0,0,0
IM 102,326,3,right,scp,scp,WT,mPFF,F,pSyn,0,0,0,0
IM 103,326,3,right,scp,scp,WT,mPFF,F,pSyn,0.029334515,0,0.029334515,0
IM 104,326,3,right,scp,scp,WT,mPFF,F,pSyn,0,0,0,0
IM 66,326,3,right,scp,scp,WT,mPFF,F,pSyn,0.001490529,0,0.001490529,0
IM 67,326,3,right,scp,scp,WT,mPFF,F,pSyn,0.013593942,0,0.013593942,0
IM 69,326,3,right,scp,scp,WT,mPFF,M,pSyn,0,0,0,0
IM 72,326,3,right,scp,scp,WT,mPFF,M,pSyn,0.016566251,0,0.016566251,0
IM 98,326,3,right,scp,scp,WT,mPFF,M,pSyn,0,0,0,0
IM 99,326,3,right,scp,scp,WT,mPFF,M,pSyn,0,0,0,0
IM 100,"c(851, 834, 842)",3,right,SCs,"c(""SCop"", ""SCzo"", ""SCsg"")",WT,mPFF,M,pSyn,0.001217439,0,0.001217439,0
IM 101,"c(842, 834, 851)",3,right,SCs,"c(""SCsg"", ""SCzo"", ""SCop"")",WT,mPFF,F,pSyn,0.000577667,0,0.000577667,0
IM 102,"c(842, 834, 851)",3,right,SCs,"c(""SCsg"", ""SCzo"", ""SCop"")",WT,mPFF,F,pSyn,0.004787498,0,0.004787498,0
IM 103,"c(842, 834, 851)",3,right,SCs,"c(""SCsg"", ""SCzo"", ""SCop"")",WT,mPFF,F,pSyn,0.001131997,0,0.001131997,0
IM 104,"c(842, 851, 834)",3,right,SCs,"c(""SCsg"", ""SCop"", ""SCzo"")",WT,mPFF,F,pSyn,0,0,0,0
IM 66,"c(834, 851, 842)",3,right,SCs,"c(""SCzo"", ""SCop"", ""SCsg"")",WT,mPFF,F,pSyn,0,0,0,0
IM 67,"c(834, 842, 851)",3,right,SCs,"c(""SCzo"", ""SCsg"", ""SCop"")",WT,mPFF,F,pSyn,0,0,0,0
IM 69,"c(842, 851, 834)",3,right,SCs,"c(""SCsg"", ""SCop"", ""SCzo"")",WT,mPFF,M,pSyn,0,0,0,0
IM 71,"c(834, 842, 851)",3,right,SCs,"c(""SCzo"", ""SCsg"", ""SCop"")",WT,mPFF,M,pSyn,0.000205126,0,0.000205126,0
IM 72,"c(851, 834, 842)",3,right,SCs,"c(""SCop"", ""SCzo"", ""SCsg"")",WT,mPFF,M,pSyn,0,0,0,0
IM 98,"c(834, 842, 851)",3,right,SCs,"c(""SCzo"", ""SCsg"", ""SCop"")",WT,mPFF,M,pSyn,0,0,0,0
IM 99,"c(834, 842, 851)",3,right,SCs,"c(""SCzo"", ""SCsg"", ""SCop"")",WT,mPFF,M,pSyn,0,0,0,0
IM 103,866,3,right,sctv,sctv,WT,mPFF,F,pSyn,0,0,0,0
IM 67,866,3,right,sctv,sctv,WT,mPFF,F,pSyn,0,0,0,0
IM 69,866,3,right,sctv,sctv,WT,mPFF,M,pSyn,0,0,0,0
IM 99,866,3,right,sctv,sctv,WT,mPFF,M,pSyn,0,0,0,0
IM 100,484682512,3,right,scwm,scwm,WT,mPFF,M,pSyn,0.043950908,0,0.043950908,0
IM 101,484682512,3,right,scwm,scwm,WT,mPFF,F,pSyn,0.086023113,0.016535224,0.069487889,4.19704763
IM 102,484682512,3,right,scwm,scwm,WT,mPFF,F,pSyn,0.091394226,0.030279353,0.061114873,5.191732638
IM 103,484682512,3,right,scwm,scwm,WT,mPFF,F,pSyn,0.012075305,0,0.012075305,0
IM 104,484682512,3,right,scwm,scwm,WT,mPFF,F,pSyn,0.105995688,0.033835764,0.072159924,4.834599029
IM 66,484682512,3,right,scwm,scwm,WT,mPFF,F,pSyn,0.013892298,0,0.013892298,0
IM 67,484682512,3,right,scwm,scwm,WT,mPFF,F,pSyn,0.132238283,0.050309037,0.081929245,11.51706366
IM 69,484682512,3,right,scwm,scwm,WT,mPFF,M,pSyn,0.028521175,0,0.028521175,0
IM 71,484682512,3,right,scwm,scwm,WT,mPFF,M,pSyn,0.028184349,0,0.028184349,0
IM 72,484682512,3,right,scwm,scwm,WT,mPFF,M,pSyn,0.062022014,0,0.062022014,0
IM 98,484682512,3,right,scwm,scwm,WT,mPFF,M,pSyn,0.029726982,0,0.029726982,0
IM 99,484682512,3,right,scwm,scwm,WT,mPFF,M,pSyn,0.053314643,0,0.053314643,0
IM 67,310,3,right,SF,SF,WT,mPFF,F,pSyn,0,0,0,0
IM 69,310,3,right,SF,SF,WT,mPFF,M,pSyn,0,0,0,0
IM 72,310,3,right,SF,SF,WT,mPFF,M,pSyn,0,0,0,0
IM 100,325,3,right,SGN,SGN,WT,mPFF,M,pSyn,0.015314573,0,0.015314573,0
IM 101,325,3,right,SGN,SGN,WT,mPFF,F,pSyn,0.033112661,0,0.033112661,0
IM 102,325,3,right,SGN,SGN,WT,mPFF,F,pSyn,0.001434085,0,0.001434085,0
IM 103,325,3,right,SGN,SGN,WT,mPFF,F,pSyn,0,0,0,0
IM 104,325,3,right,SGN,SGN,WT,mPFF,F,pSyn,0,0,0,0
IM 66,325,3,right,SGN,SGN,WT,mPFF,F,pSyn,0.004277085,0,0.004277085,0
IM 67,325,3,right,SGN,SGN,WT,mPFF,F,pSyn,0,0,0,0
IM 69,325,3,right,SGN,SGN,WT,mPFF,M,pSyn,0.006537547,0,0.006537547,0
IM 71,325,3,right,SGN,SGN,WT,mPFF,M,pSyn,0.001580071,0,0.001580071,0
IM 72,325,3,right,SGN,SGN,WT,mPFF,M,pSyn,0.000932369,0,0.000932369,0
IM 98,325,3,right,SGN,SGN,WT,mPFF,M,pSyn,0,0,0,0
IM 99,325,3,right,SGN,SGN,WT,mPFF,M,pSyn,0.017615096,0,0.017615096,0
IM 102,333,3,right,SH,SH,WT,mPFF,F,pSyn,0,0,0,0
IM 103,333,3,right,SH,SH,WT,mPFF,F,pSyn,0,0,0,0
IM 98,333,3,right,SH,SH,WT,mPFF,M,pSyn,0.044757775,0,0.044757775,0
IM 99,333,3,right,SH,SH,WT,mPFF,M,pSyn,0,0,0,0
IM 100,342,3,right,SI,SI,WT,mPFF,M,pSyn,0.006291814,0,0.006291814,0
IM 101,342,3,right,SI,SI,WT,mPFF,F,pSyn,0.013786591,0,0.013786591,0
IM 102,342,3,right,SI,SI,WT,mPFF,F,pSyn,0.003979614,0,0.003979614,0
IM 103,342,3,right,SI,SI,WT,mPFF,F,pSyn,0.013837448,0,0.013837448,0
IM 104,342,3,right,SI,SI,WT,mPFF,F,pSyn,0.001779487,0,0.001779487,0
IM 66,342,3,right,SI,SI,WT,mPFF,F,pSyn,0.007956691,0,0.007956691,0
IM 67,342,3,right,SI,SI,WT,mPFF,F,pSyn,0.007514018,0,0.007514018,0
IM 69,342,3,right,SI,SI,WT,mPFF,M,pSyn,0.008777875,0,0.008777875,0
IM 71,342,3,right,SI,SI,WT,mPFF,M,pSyn,0.003425474,0,0.003425474,0
IM 72,342,3,right,SI,SI,WT,mPFF,M,pSyn,0.008572422,0,0.008572422,0
IM 98,342,3,right,SI,SI,WT,mPFF,M,pSyn,0.012232834,0,0.012232834,0
IM 99,342,3,right,SI,SI,WT,mPFF,M,pSyn,0.002601259,0,0.002601259,0
IM 100,802,3,right,sm,sm,WT,mPFF,M,pSyn,0,0,0,0
IM 101,802,3,right,sm,sm,WT,mPFF,F,pSyn,0,0,0,0
IM 102,802,3,right,sm,sm,WT,mPFF,F,pSyn,0,0,0,0
IM 103,802,3,right,sm,sm,WT,mPFF,F,pSyn,0,0,0,0
IM 104,802,3,right,sm,sm,WT,mPFF,F,pSyn,0.000802599,0,0.000802599,0
IM 66,802,3,right,sm,sm,WT,mPFF,F,pSyn,0.063819189,0,0.063819189,0
IM 67,802,3,right,sm,sm,WT,mPFF,F,pSyn,0,0,0,0
IM 69,802,3,right,sm,sm,WT,mPFF,M,pSyn,1.80E-03,0,0.001800411,0
IM 71,802,3,right,sm,sm,WT,mPFF,M,pSyn,0,0,0,0
IM 72,802,3,right,sm,sm,WT,mPFF,M,pSyn,0.00E+00,0,0,0
IM 98,802,3,right,sm,sm,WT,mPFF,M,pSyn,0.001404271,0,0.001404271,0
IM 99,802,3,right,sm,sm,WT,mPFF,M,pSyn,0,0,0,0
IM 100,366,3,right,SMT,SMT,WT,mPFF,M,pSyn,0.058001835,0.052042265,0.005959568,11.64415747
IM 101,366,3,right,SMT,SMT,WT,mPFF,F,pSyn,0.007546779,0,0.007546779,0
IM 102,366,3,right,SMT,SMT,WT,mPFF,F,pSyn,0.004718486,0,0.004718486,0
IM 103,366,3,right,SMT,SMT,WT,mPFF,F,pSyn,3.12E-03,0,0.003117827,0
IM 104,366,3,right,SMT,SMT,WT,mPFF,F,pSyn,0.00456398,0,0.00456398,0
IM 66,366,3,right,SMT,SMT,WT,mPFF,F,pSyn,0.003744059,0,0.003744059,0
IM 67,366,3,right,SMT,SMT,WT,mPFF,F,pSyn,0.00021256,0,0.00021256,0
IM 69,366,3,right,SMT,SMT,WT,mPFF,M,pSyn,0.000235329,0,0.000235329,0
IM 71,366,3,right,SMT,SMT,WT,mPFF,M,pSyn,0.000115859,0,0.000115859,0
IM 72,366,3,right,SMT,SMT,WT,mPFF,M,pSyn,0,0,0,0
IM 98,366,3,right,SMT,SMT,WT,mPFF,M,pSyn,0.026115224,0,0.026115224,0
IM 99,366,3,right,SMT,SMT,WT,mPFF,M,pSyn,0.002192304,0,0.002192304,0
IM 103,"c(122, 105, 114)",3,right,SOC,"c(""POR"", ""SOCm"", ""SOCl"")",WT,mPFF,F,pSyn,0.001411537,0,0.001411537,0
IM 67,"c(114, 122, 105)",3,right,SOC,"c(""SOCl"", ""POR"", ""SOCm"")",WT,mPFF,F,pSyn,0,0,0,0
IM 69,"c(122, 105, 114)",3,right,SOC,"c(""POR"", ""SOCm"", ""SOCl"")",WT,mPFF,M,pSyn,0,0,0,0
IM 99,"c(122, 105)",3,right,SOC,"c(""POR"", ""SOCm"")",WT,mPFF,M,pSyn,8.79E-05,0,8.79E-05,0
IM 103,609,3,right,SPA,SPA,WT,mPFF,F,pSyn,0.017963059,0,0.017963059,0
IM 104,609,3,right,SPA,SPA,WT,mPFF,F,pSyn,0,0,0,0
IM 67,609,3,right,SPA,SPA,WT,mPFF,F,pSyn,0.0015915,0,0.0015915,0
IM 71,609,3,right,SPA,SPA,WT,mPFF,M,pSyn,0,0,0,0
IM 72,609,3,right,SPA,SPA,WT,mPFF,M,pSyn,0.000433511,0,0.000433511,0
IM 98,609,3,right,SPA,SPA,WT,mPFF,M,pSyn,0,0,0,0
IM 100,422,3,right,SPF,SPFp,WT,mPFF,M,pSyn,0,0,0,0
IM 101,"c(422, 414)",3,right,SPF,"c(""SPFp"", ""SPFm"")",WT,mPFF,F,pSyn,0.012684056,0,0.012684056,0
IM 102,422,3,right,SPF,SPFp,WT,mPFF,F,pSyn,0,0,0,0
IM 103,"c(422, 414)",3,right,SPF,"c(""SPFp"", ""SPFm"")",WT,mPFF,F,pSyn,0.003399608,0,0.003399608,0
IM 104,"c(422, 414)",3,right,SPF,"c(""SPFp"", ""SPFm"")",WT,mPFF,F,pSyn,0.000247927,0,0.000247927,0
IM 66,422,3,right,SPF,SPFp,WT,mPFF,F,pSyn,0.009769116,0,0.009769116,0
IM 67,"c(422, 414)",3,right,SPF,"c(""SPFp"", ""SPFm"")",WT,mPFF,F,pSyn,0.000174602,0,0.000174602,0
IM 71,"c(414, 422)",3,right,SPF,"c(""SPFm"", ""SPFp"")",WT,mPFF,M,pSyn,0,0,0,0
IM 72,"c(422, 414)",3,right,SPF,"c(""SPFp"", ""SPFm"")",WT,mPFF,M,pSyn,0,0,0,0
IM 98,"c(422, 414)",3,right,SPF,"c(""SPFp"", ""SPFm"")",WT,mPFF,M,pSyn,0,0,0,0
IM 99,"c(422, 414)",3,right,SPF,"c(""SPFp"", ""SPFm"")",WT,mPFF,M,pSyn,0,0,0,0
IM 100,"c(1062, 1038, 201, 981, 1047, 1070)",3,right,SSp-bfd,"c(""SSp-bfd6b"", ""SSp-bfd6a"", ""SSp-bfd2/3"", ""SSp-bfd1"", ""SSp-bfd4"", ""SSp-bfd5"")",WT,mPFF,M,pSyn,0.088002252,0.001790857,0.086211396,0.808927764
IM 101,"c(1070, 1062, 981, 1047, 1038, 201)",3,right,SSp-bfd,"c(""SSp-bfd5"", ""SSp-bfd6b"", ""SSp-bfd1"", ""SSp-bfd4"", ""SSp-bfd6a"", ""SSp-bfd2/3"")",WT,mPFF,F,pSyn,0.118370326,0.026133334,0.092236991,7.024369467
IM 102,"c(1062, 1047, 1038, 1070, 981, 201)",3,right,SSp-bfd,"c(""SSp-bfd6b"", ""SSp-bfd4"", ""SSp-bfd6a"", ""SSp-bfd5"", ""SSp-bfd1"", ""SSp-bfd2/3"")",WT,mPFF,F,pSyn,0.116308458,0.028502817,0.08780564,6.934435579
IM 103,"c(1047, 981, 1062, 1038, 201, 1070)",3,right,SSp-bfd,"c(""SSp-bfd4"", ""SSp-bfd1"", ""SSp-bfd6b"", ""SSp-bfd6a"", ""SSp-bfd2/3"", ""SSp-bfd5"")",WT,mPFF,F,pSyn,0.040808067,0.011075274,0.029732793,1.633411119
IM 104,"c(201, 1038, 1047, 1062, 981, 1070)",3,right,SSp-bfd,"c(""SSp-bfd2/3"", ""SSp-bfd6a"", ""SSp-bfd4"", ""SSp-bfd6b"", ""SSp-bfd1"", ""SSp-bfd5"")",WT,mPFF,F,pSyn,0.104790164,0.025605503,0.07918466,6.564911592
IM 66,"c(1070, 1062, 1038, 201, 981, 1047)",3,right,SSp-bfd,"c(""SSp-bfd5"", ""SSp-bfd6b"", ""SSp-bfd6a"", ""SSp-bfd2/3"", ""SSp-bfd1"", ""SSp-bfd4"")",WT,mPFF,F,pSyn,0.064764139,0.017713519,0.04705062,4.336019836
IM 67,"c(201, 1038, 1070, 1047, 1062, 981)",3,right,SSp-bfd,"c(""SSp-bfd2/3"", ""SSp-bfd6a"", ""SSp-bfd5"", ""SSp-bfd4"", ""SSp-bfd6b"", ""SSp-bfd1"")",WT,mPFF,F,pSyn,0.067386246,0.015306309,0.052079937,5.054930593
IM 69,"c(1038, 1047, 1062, 201, 981, 1070)",3,right,SSp-bfd,"c(""SSp-bfd6a"", ""SSp-bfd4"", ""SSp-bfd6b"", ""SSp-bfd2/3"", ""SSp-bfd1"", ""SSp-bfd5"")",WT,mPFF,M,pSyn,0.088761574,0.012693988,0.076067587,2.379512571
IM 71,"c(1047, 201, 1062, 981, 1070, 1038)",3,right,SSp-bfd,"c(""SSp-bfd4"", ""SSp-bfd2/3"", ""SSp-bfd6b"", ""SSp-bfd1"", ""SSp-bfd5"", ""SSp-bfd6a"")",WT,mPFF,M,pSyn,0.029631185,0,0.029631185,0
IM 72,"c(981, 201, 1047, 1070, 1062, 1038)",3,right,SSp-bfd,"c(""SSp-bfd1"", ""SSp-bfd2/3"", ""SSp-bfd4"", ""SSp-bfd5"", ""SSp-bfd6b"", ""SSp-bfd6a"")",WT,mPFF,M,pSyn,0.072447672,0.008654143,0.063793529,1.967756894
IM 98,"c(1062, 1038, 201, 1070, 981, 1047)",3,right,SSp-bfd,"c(""SSp-bfd6b"", ""SSp-bfd6a"", ""SSp-bfd2/3"", ""SSp-bfd5"", ""SSp-bfd1"", ""SSp-bfd4"")",WT,mPFF,M,pSyn,0.061509292,0.01076623,0.050743061,3.533340612
IM 99,"c(981, 201, 1047, 1038, 1062, 1070)",3,right,SSp-bfd,"c(""SSp-bfd1"", ""SSp-bfd2/3"", ""SSp-bfd4"", ""SSp-bfd6a"", ""SSp-bfd6b"", ""SSp-bfd5"")",WT,mPFF,M,pSyn,0.112893009,0.036150775,0.076742234,6.143741352
IM 100,510,3,right,SSp-ll,SSp-ll6b,WT,mPFF,M,pSyn,0,0,0,0
IM 101,"c(510, 1030, 478, 113)",3,right,SSp-ll,"c(""SSp-ll6b"", ""SSp-ll1"", ""SSp-ll6a"", ""SSp-ll2/3"")",WT,mPFF,F,pSyn,0.06501123,0,0.06501123,0
IM 102,510,3,right,SSp-ll,SSp-ll6b,WT,mPFF,F,pSyn,0,0,0,0
IM 103,"c(510, 478)",3,right,SSp-ll,"c(""SSp-ll6b"", ""SSp-ll6a"")",WT,mPFF,F,pSyn,0,0,0,0
IM 104,"c(510, 478)",3,right,SSp-ll,"c(""SSp-ll6b"", ""SSp-ll6a"")",WT,mPFF,F,pSyn,0.092599899,0,0.092599899,0
IM 66,"c(1128, 510, 478)",3,right,SSp-ll,"c(""SSp-ll5"", ""SSp-ll6b"", ""SSp-ll6a"")",WT,mPFF,F,pSyn,0.07351971,0.031016127,0.042503583,10.72366158
IM 67,"c(113, 1030, 478, 1094, 510)",3,right,SSp-ll,"c(""SSp-ll2/3"", ""SSp-ll1"", ""SSp-ll6a"", ""SSp-ll4"", ""SSp-ll6b"")",WT,mPFF,F,pSyn,0.159659575,0.045722612,0.113936963,0
IM 69,"c(1128, 510, 113, 1030, 478)",3,right,SSp-ll,"c(""SSp-ll5"", ""SSp-ll6b"", ""SSp-ll2/3"", ""SSp-ll1"", ""SSp-ll6a"")",WT,mPFF,M,pSyn,0.05721243,0,0.05721243,0
IM 71,"c(510, 478)",3,right,SSp-ll,"c(""SSp-ll6b"", ""SSp-ll6a"")",WT,mPFF,M,pSyn,0.060912218,0,0.060912218,0
IM 72,"c(1128, 478, 510)",3,right,SSp-ll,"c(""SSp-ll5"", ""SSp-ll6a"", ""SSp-ll6b"")",WT,mPFF,M,pSyn,0.119749286,0.026110255,0.093639031,5.567711255
IM 98,"c(478, 510)",3,right,SSp-ll,"c(""SSp-ll6a"", ""SSp-ll6b"")",WT,mPFF,M,pSyn,0.0805661,0,0.0805661,0
IM 100,"c(878, 657, 974, 950)",3,right,SSp-m,"c(""SSp-m1"", ""SSp-m2/3"", ""SSp-m5"", ""SSp-m4"")",WT,mPFF,M,pSyn,0.009483325,0.004763314,0.004720011,1.819065615
IM 101,"c(878, 2, 974, 950, 657, 1102)",3,right,SSp-m,"c(""SSp-m1"", ""SSp-m6b"", ""SSp-m5"", ""SSp-m4"", ""SSp-m2/3"", ""SSp-m6a"")",WT,mPFF,F,pSyn,0.049814098,0.032110372,0.017703724,5.686385747
IM 102,"c(1102, 657, 974, 878, 950)",3,right,SSp-m,"c(""SSp-m6a"", ""SSp-m2/3"", ""SSp-m5"", ""SSp-m1"", ""SSp-m4"")",WT,mPFF,F,pSyn,0.003343603,0,0.003343603,0
IM 103,"c(1102, 878, 657, 974, 950)",3,right,SSp-m,"c(""SSp-m6a"", ""SSp-m1"", ""SSp-m2/3"", ""SSp-m5"", ""SSp-m4"")",WT,mPFF,F,pSyn,0.000817142,0,0.000817142,0
IM 104,"c(974, 950, 878, 657)",3,right,SSp-m,"c(""SSp-m5"", ""SSp-m4"", ""SSp-m1"", ""SSp-m2/3"")",WT,mPFF,F,pSyn,0.002385739,0,0.002385739,0
IM 66,"c(657, 878, 1102, 950, 2, 974)",3,right,SSp-m,"c(""SSp-m2/3"", ""SSp-m1"", ""SSp-m6a"", ""SSp-m4"", ""SSp-m6b"", ""SSp-m5"")",WT,mPFF,F,pSyn,0.005027306,0.000528263,0.004499043,0.739709156
IM 67,"c(1102, 878, 2, 657, 974, 950)",3,right,SSp-m,"c(""SSp-m6a"", ""SSp-m1"", ""SSp-m6b"", ""SSp-m2/3"", ""SSp-m5"", ""SSp-m4"")",WT,mPFF,F,pSyn,0.084930463,0.02762423,0.057306232,5.637755938
IM 69,"c(1102, 878, 950, 2, 974, 657)",3,right,SSp-m,"c(""SSp-m6a"", ""SSp-m1"", ""SSp-m4"", ""SSp-m6b"", ""SSp-m5"", ""SSp-m2/3"")",WT,mPFF,M,pSyn,0.039418731,0.007901984,0.031516747,1.70228912
IM 71,"c(1102, 2, 878, 974, 657, 950)",3,right,SSp-m,"c(""SSp-m6a"", ""SSp-m6b"", ""SSp-m1"", ""SSp-m5"", ""SSp-m2/3"", ""SSp-m4"")",WT,mPFF,M,pSyn,0.006103772,0,0.006103772,0
IM 72,"c(974, 878, 1102, 657, 950, 2)",3,right,SSp-m,"c(""SSp-m5"", ""SSp-m1"", ""SSp-m6a"", ""SSp-m2/3"", ""SSp-m4"", ""SSp-m6b"")",WT,mPFF,M,pSyn,0.007608534,0.00284673,0.004761803,0.724759915
IM 98,"c(657, 1102, 878, 974, 950)",3,right,SSp-m,"c(""SSp-m2/3"", ""SSp-m6a"", ""SSp-m1"", ""SSp-m5"", ""SSp-m4"")",WT,mPFF,M,pSyn,0.002232076,0.001716172,0.000515904,0.884575576
IM 99,"c(1102, 657, 974, 950, 878)",3,right,SSp-m,"c(""SSp-m6a"", ""SSp-m2/3"", ""SSp-m5"", ""SSp-m4"", ""SSp-m1"")",WT,mPFF,M,pSyn,0.009486917,0.002272315,0.007214602,0.795461403
IM 101,"c(558, 838)",3,right,SSp-n,"c(""SSp-n1"", ""SSp-n2/3"")",WT,mPFF,F,pSyn,0.003988897,0,0.003988897,0
IM 67,"c(558, 838, 654)",3,right,SSp-n,"c(""SSp-n1"", ""SSp-n2/3"", ""SSp-n4"")",WT,mPFF,F,pSyn,0.018543359,0,0.018543359,0
IM 69,"c(838, 558)",3,right,SSp-n,"c(""SSp-n2/3"", ""SSp-n1"")",WT,mPFF,M,pSyn,0.000616127,0,0.000616127,0
IM 72,929,3,right,SSp-n,SSp-n6b,WT,mPFF,M,pSyn,0,0,0,0
IM 100,"c(9, 461, 1111, 1006, 670, 1086)",3,right,SSp-tr,"c(""SSp-tr6a"", ""SSp-tr6b"", ""SSp-tr5"", ""SSp-tr1"", ""SSp-tr2/3"", ""SSp-tr4"")",WT,mPFF,M,pSyn,0.081141816,0.019735166,0.061406649,5.066673357
IM 101,"c(1006, 461, 9, 1111, 1086, 670)",3,right,SSp-tr,"c(""SSp-tr1"", ""SSp-tr6b"", ""SSp-tr6a"", ""SSp-tr5"", ""SSp-tr4"", ""SSp-tr2/3"")",WT,mPFF,F,pSyn,0.187092061,0.057281004,0.129811055,13.25762731
IM 102,"c(1086, 1111, 9, 461, 1006, 670)",3,right,SSp-tr,"c(""SSp-tr4"", ""SSp-tr5"", ""SSp-tr6a"", ""SSp-tr6b"", ""SSp-tr1"", ""SSp-tr2/3"")",WT,mPFF,F,pSyn,0.141477249,0.02563373,0.115843518,7.746915485
IM 103,"c(1111, 1006, 461, 9, 670, 1086)",3,right,SSp-tr,"c(""SSp-tr5"", ""SSp-tr1"", ""SSp-tr6b"", ""SSp-tr6a"", ""SSp-tr2/3"", ""SSp-tr4"")",WT,mPFF,F,pSyn,0.040993696,0.003047745,0.037945951,1.267620111
IM 104,"c(1086, 461, 9, 670, 1006, 1111)",3,right,SSp-tr,"c(""SSp-tr4"", ""SSp-tr6b"", ""SSp-tr6a"", ""SSp-tr2/3"", ""SSp-tr1"", ""SSp-tr5"")",WT,mPFF,F,pSyn,0.168818868,0.05141062,0.117408246,13.70024154
IM 66,"c(1006, 461, 9, 1086, 670, 1111)",3,right,SSp-tr,"c(""SSp-tr1"", ""SSp-tr6b"", ""SSp-tr6a"", ""SSp-tr4"", ""SSp-tr2/3"", ""SSp-tr5"")",WT,mPFF,F,pSyn,0.036843487,9.68E-05,0.036746658,0
IM 67,"c(461, 670, 1006, 1111, 1086, 9)",3,right,SSp-tr,"c(""SSp-tr6b"", ""SSp-tr2/3"", ""SSp-tr1"", ""SSp-tr5"", ""SSp-tr4"", ""SSp-tr6a"")",WT,mPFF,F,pSyn,0.084552648,0.02552588,0.059026767,7.269768099
IM 69,"c(1086, 461, 1006, 9, 1111, 670)",3,right,SSp-tr,"c(""SSp-tr4"", ""SSp-tr6b"", ""SSp-tr1"", ""SSp-tr6a"", ""SSp-tr5"", ""SSp-tr2/3"")",WT,mPFF,M,pSyn,0.122131765,0.029487867,0.092643898,7.286622034
IM 71,"c(461, 670, 9, 1111, 1086, 1006)",3,right,SSp-tr,"c(""SSp-tr6b"", ""SSp-tr2/3"", ""SSp-tr6a"", ""SSp-tr5"", ""SSp-tr4"", ""SSp-tr1"")",WT,mPFF,M,pSyn,0.051214005,0.008908547,0.042305458,2.264629865
IM 72,"c(670, 461, 1006, 9, 1086, 1111)",3,right,SSp-tr,"c(""SSp-tr2/3"", ""SSp-tr6b"", ""SSp-tr1"", ""SSp-tr6a"", ""SSp-tr4"", ""SSp-tr5"")",WT,mPFF,M,pSyn,0.073553046,0.021200191,0.052352855,7.158981158
IM 98,"c(1111, 1006, 9, 461, 1086, 670)",3,right,SSp-tr,"c(""SSp-tr5"", ""SSp-tr1"", ""SSp-tr6a"", ""SSp-tr6b"", ""SSp-tr4"", ""SSp-tr2/3"")",WT,mPFF,M,pSyn,0.0951096,0.013185869,0.081923731,2.666241884
IM 99,"c(461, 1086, 1006, 670, 1111, 9)",3,right,SSp-tr,"c(""SSp-tr6b"", ""SSp-tr4"", ""SSp-tr1"", ""SSp-tr2/3"", ""SSp-tr5"", ""SSp-tr6a"")",WT,mPFF,M,pSyn,0.091390153,0.018481625,0.072908527,5.345099991
IM 100,"c(945, 1026)",3,right,SSp-ul,"c(""SSp-ul6a"", ""SSp-ul6b"")",WT,mPFF,M,pSyn,0.069550588,0,0.069550588,0
IM 101,"c(1026, 945, 577, 625, 854, 450)",3,right,SSp-ul,"c(""SSp-ul6b"", ""SSp-ul6a"", ""SSp-ul4"", ""SSp-ul5"", ""SSp-ul2/3"", ""SSp-ul1"")",WT,mPFF,F,pSyn,0.09113045,0.015278245,0.075852204,2.830466346
IM 102,"c(945, 450, 1026)",3,right,SSp-ul,"c(""SSp-ul6a"", ""SSp-ul1"", ""SSp-ul6b"")",WT,mPFF,F,pSyn,0.016706273,0,0.016706273,0
IM 103,"c(945, 450, 625, 577, 1026, 854)",3,right,SSp-ul,"c(""SSp-ul6a"", ""SSp-ul1"", ""SSp-ul5"", ""SSp-ul4"", ""SSp-ul6b"", ""SSp-ul2/3"")",WT,mPFF,F,pSyn,0.04423675,0,0.04423675,0
IM 104,"c(1026, 945, 625)",3,right,SSp-ul,"c(""SSp-ul6b"", ""SSp-ul6a"", ""SSp-ul5"")",WT,mPFF,F,pSyn,0.176984871,0.049289554,0.127695315,17.47303532
IM 66,"c(625, 577, 1026, 854, 450, 945)",3,right,SSp-ul,"c(""SSp-ul5"", ""SSp-ul4"", ""SSp-ul6b"", ""SSp-ul2/3"", ""SSp-ul1"", ""SSp-ul6a"")",WT,mPFF,F,pSyn,0.04538163,0.015867127,0.029514503,5.180408961
IM 67,"c(625, 945, 854, 450, 577, 1026)",3,right,SSp-ul,"c(""SSp-ul5"", ""SSp-ul6a"", ""SSp-ul2/3"", ""SSp-ul1"", ""SSp-ul4"", ""SSp-ul6b"")",WT,mPFF,F,pSyn,0.213581577,0.06197581,0.151605767,12.65220486
IM 69,"c(945, 577, 450, 854, 625, 1026)",3,right,SSp-ul,"c(""SSp-ul6a"", ""SSp-ul4"", ""SSp-ul1"", ""SSp-ul2/3"", ""SSp-ul5"", ""SSp-ul6b"")",WT,mPFF,M,pSyn,0.066614762,0.031580518,0.035034244,8.350173527
IM 71,"c(1026, 945, 854, 450, 577, 625)",3,right,SSp-ul,"c(""SSp-ul6b"", ""SSp-ul6a"", ""SSp-ul2/3"", ""SSp-ul1"", ""SSp-ul4"", ""SSp-ul5"")",WT,mPFF,M,pSyn,0.009036836,0,0.009036836,0
