,mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,forRemove,batch,Region Area,Logged Region Area
94,IM 55,"c(527, 600, 678, 252, 156)",9,left,AUDd,"c(""AUDd1"", ""AUDd2/3"", ""AUDd4"", ""AUDd5"", ""AUDd6a"")",WT,mPFF,M,pSyn,"c(527, 600, 678, 252, 156)",None,55270.18834,4.742490945
95,IM 56,"c(527, 600, 678)",9,left,AUDd,"c(""AUDd1"", ""AUDd2/3"", ""AUDd4"")",WT,mPFF,M,pSyn,"c(527, 600, 678)",None,22208.32968,4.346515896
96,IM 50,"c(735, 251, 816, 847, 954, 1005)",9,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,F,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,83757.39413,4.923023157
97,IM 51,"c(735, 251, 816, 847, 954, 1005)",9,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,F,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,87703.74638,4.943018145
98,IM 52,"c(735, 251, 816, 847, 954, 1005)",9,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,F,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,70911.31001,4.850715509
99,IM 53,"c(735, 251, 816, 847, 954, 1005)",9,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,M,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,56674.38999,4.753386854
100,IM 54,"c(735, 251, 816, 847, 954, 1005)",9,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,M,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,65038.89551,4.813173158
101,IM 55,"c(735, 251, 816, 847, 954, 1005)",9,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,M,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,66427.21136,4.822346021
102,IM 56,"c(735, 251, 816, 847, 954, 1005)",9,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,M,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,73475.54334,4.866142806
103,IM 50,"c(696, 643, 759, 791, 249, 456)",9,left,AUDpo,"c(""AUDpo1"", ""AUDpo2/3"", ""AUDpo4"", ""AUDpo5"", ""AUDpo6a"", ""AUDpo6b"")",WT,mPFF,F,pSyn,"c(696, 643, 759, 791, 249, 456)",None,41561.81925,4.618694549
104,IM 51,"c(696, 643, 759, 791, 249, 456)",9,left,AUDpo,"c(""AUDpo1"", ""AUDpo2/3"", ""AUDpo4"", ""AUDpo5"", ""AUDpo6a"", ""AUDpo6b"")",WT,mPFF,F,pSyn,"c(696, 643, 759, 791, 249, 456)",None,41826.14601,4.621447849
105,IM 52,"c(696, 643, 759, 791, 249, 456)",9,left,AUDpo,"c(""AUDpo1"", ""AUDpo2/3"", ""AUDpo4"", ""AUDpo5"", ""AUDpo6a"", ""AUDpo6b"")",WT,mPFF,F,pSyn,"c(696, 643, 759, 791, 249, 456)",None,35348.88416,4.548375709
106,IM 53,"c(696, 643, 759, 791, 249, 456)",9,left,AUDpo,"c(""AUDpo1"", ""AUDpo2/3"", ""AUDpo4"", ""AUDpo5"", ""AUDpo6a"", ""AUDpo6b"")",WT,mPFF,M,pSyn,"c(696, 643, 759, 791, 249, 456)",None,34474.3384,4.53749594
107,IM 54,"c(696, 643, 759, 791, 249, 456)",9,left,AUDpo,"c(""AUDpo1"", ""AUDpo2/3"", ""AUDpo4"", ""AUDpo5"", ""AUDpo6a"", ""AUDpo6b"")",WT,mPFF,M,pSyn,"c(696, 643, 759, 791, 249, 456)",None,45287.13062,4.655974805
108,IM 55,"c(696, 643, 759, 791, 249, 456)",9,left,AUDpo,"c(""AUDpo1"", ""AUDpo2/3"", ""AUDpo4"", ""AUDpo5"", ""AUDpo6a"", ""AUDpo6b"")",WT,mPFF,M,pSyn,"c(696, 643, 759, 791, 249, 456)",None,49729.26251,4.696612019
109,IM 56,"c(696, 643, 759, 791, 249, 456)",9,left,AUDpo,"c(""AUDpo1"", ""AUDpo2/3"", ""AUDpo4"", ""AUDpo5"", ""AUDpo6a"", ""AUDpo6b"")",WT,mPFF,M,pSyn,"c(696, 643, 759, 791, 249, 456)",None,46969.41275,4.67181513
110,IM 50,"c(959, 755, 990, 1023, 520, 598)",9,left,AUDv,"c(""AUDv1"", ""AUDv2/3"", ""AUDv4"", ""AUDv5"", ""AUDv6a"", ""AUDv6b"")",WT,mPFF,F,pSyn,"c(959, 755, 990, 1023, 520, 598)",None,51537.16031,4.712120485
111,IM 51,"c(959, 755, 990, 1023, 520, 598)",9,left,AUDv,"c(""AUDv1"", ""AUDv2/3"", ""AUDv4"", ""AUDv5"", ""AUDv6a"", ""AUDv6b"")",WT,mPFF,F,pSyn,"c(959, 755, 990, 1023, 520, 598)",None,40616.65534,4.608704158
112,IM 52,"c(959, 755, 990, 1023, 520, 598)",9,left,AUDv,"c(""AUDv1"", ""AUDv2/3"", ""AUDv4"", ""AUDv5"", ""AUDv6a"", ""AUDv6b"")",WT,mPFF,F,pSyn,"c(959, 755, 990, 1023, 520, 598)",None,42547.61407,4.628875211
113,IM 53,"c(959, 755, 990, 1023, 520, 598)",9,left,AUDv,"c(""AUDv1"", ""AUDv2/3"", ""AUDv4"", ""AUDv5"", ""AUDv6a"", ""AUDv6b"")",WT,mPFF,M,pSyn,"c(959, 755, 990, 1023, 520, 598)",None,50673.56149,4.704781429
114,IM 54,"c(959, 755, 990, 1023, 520, 598)",9,left,AUDv,"c(""AUDv1"", ""AUDv2/3"", ""AUDv4"", ""AUDv5"", ""AUDv6a"", ""AUDv6b"")",WT,mPFF,M,pSyn,"c(959, 755, 990, 1023, 520, 598)",None,57642.41566,4.760742173
115,IM 55,"c(959, 755, 990, 1023, 520, 598)",9,left,AUDv,"c(""AUDv1"", ""AUDv2/3"", ""AUDv4"", ""AUDv5"", ""AUDv6a"", ""AUDv6b"")",WT,mPFF,M,pSyn,"c(959, 755, 990, 1023, 520, 598)",None,60751.21682,4.783554981
116,IM 56,"c(959, 755, 990, 1023, 520, 598)",9,left,AUDv,"c(""AUDv1"", ""AUDv2/3"", ""AUDv4"", ""AUDv5"", ""AUDv6a"", ""AUDv6b"")",WT,mPFF,M,pSyn,"c(959, 755, 990, 1023, 520, 598)",None,34402.35677,4.536588196
117,IM 54,263,9,left,AVP,AVP,WT,mPFF,M,pSyn,263,None,43063.37847,4.634108099
118,IM 50,272,9,left,AVPV,AVPV,WT,mPFF,F,pSyn,272,None,49829.7977,4.697489124
119,IM 53,272,9,left,AVPV,AVPV,WT,mPFF,M,pSyn,272,None,90408.66999,4.95621008
120,IM 54,272,9,left,AVPV,AVPV,WT,mPFF,M,pSyn,272,None,88497.21814,4.946929619
121,IM 55,272,9,left,AVPV,AVPV,WT,mPFF,M,pSyn,272,None,93711.07012,4.971790897
122,IM 50,292,9,left,BA,BA,WT,mPFF,F,pSyn,292,None,16991.64343,4.230235386
123,IM 51,482,9,left,bic,bic,WT,mPFF,F,pSyn,482,None,41268.69964,4.615620785
124,IM 52,482,9,left,bic,bic,WT,mPFF,F,pSyn,482,None,40612.16191,4.608656109
125,IM 53,482,9,left,bic,bic,WT,mPFF,M,pSyn,482,None,65430.08667,4.815777496
126,IM 54,482,9,left,bic,bic,WT,mPFF,M,pSyn,482,None,65010.14854,4.812981158
127,IM 56,482,9,left,bic,bic,WT,mPFF,M,pSyn,482,None,60612.4055,4.78256152
128,IM 50,"c(303, 311, 451)",9,left,BLA,"c(""BLAa"", ""BLAp"", ""BLAv"")",WT,mPFF,F,pSyn,"c(303, 311, 451)",None,135041.5933,5.130467553
129,IM 51,"c(303, 311, 451)",9,left,BLA,"c(""BLAa"", ""BLAp"", ""BLAv"")",WT,mPFF,F,pSyn,"c(303, 311, 451)",None,138015.754,5.139928663
130,IM 52,"c(303, 451, 311)",9,left,BLA,"c(""BLAa"", ""BLAv"", ""BLAp"")",WT,mPFF,F,pSyn,"c(303, 451, 311)",None,126579.8792,5.102364677
131,IM 53,"c(303, 451, 311)",9,left,BLA,"c(""BLAa"", ""BLAv"", ""BLAp"")",WT,mPFF,M,pSyn,"c(303, 451, 311)",None,162394.7428,5.210571966
132,IM 54,"c(303, 311, 451)",9,left,BLA,"c(""BLAa"", ""BLAp"", ""BLAv"")",WT,mPFF,M,pSyn,"c(303, 311, 451)",None,133508.7294,5.125509663
133,IM 55,"c(303, 451, 311)",9,left,BLA,"c(""BLAa"", ""BLAv"", ""BLAp"")",WT,mPFF,M,pSyn,"c(303, 451, 311)",None,152339.8096,5.182813409
134,IM 56,"c(303, 451, 311)",9,left,BLA,"c(""BLAa"", ""BLAv"", ""BLAp"")",WT,mPFF,M,pSyn,"c(303, 451, 311)",None,138312.4254,5.140861197
135,IM 50,"c(327, 334)",9,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,F,pSyn,"c(327, 334)",None,159433.9074,5.20258069
136,IM 51,"c(327, 334)",9,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,F,pSyn,"c(327, 334)",None,149862.2848,5.17569235
137,IM 52,"c(327, 334)",9,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,F,pSyn,"c(327, 334)",None,168150.4656,5.225698074
138,IM 53,"c(327, 334)",9,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,M,pSyn,"c(327, 334)",None,139676.8303,5.145124371
139,IM 54,"c(327, 334)",9,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,M,pSyn,"c(327, 334)",None,86916.39311,4.939101696
140,IM 55,"c(327, 334)",9,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,M,pSyn,"c(327, 334)",None,130481.8926,5.115550247
141,IM 56,"c(327, 334)",9,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,M,pSyn,"c(327, 334)",None,118781.107,5.074747369
142,IM 50,916,9,left,bsc,bsc,WT,mPFF,F,pSyn,916,None,65415.26401,4.815679099
143,IM 51,916,9,left,bsc,bsc,WT,mPFF,F,pSyn,916,None,52062.66958,4.716526433
144,IM 52,916,9,left,bsc,bsc,WT,mPFF,F,pSyn,916,None,41539.93166,4.618465778
145,IM 53,916,9,left,bsc,bsc,WT,mPFF,M,pSyn,916,None,66951.86674,4.825762691
146,IM 54,916,9,left,bsc,bsc,WT,mPFF,M,pSyn,916,None,46954.68,4.671678885
147,IM 55,916,9,left,bsc,bsc,WT,mPFF,M,pSyn,916,None,39375.07589,4.595221404
148,IM 56,916,9,left,bsc,bsc,WT,mPFF,M,pSyn,916,None,44085.326,4.644294057
149,IM 53,351,9,left,BST,BST,WT,mPFF,M,pSyn,351,None,122723.4155,5.088927434
150,IM 54,351,9,left,BST,BST,WT,mPFF,M,pSyn,351,None,203859.6632,5.309331302
151,IM 55,351,9,left,BST,BST,WT,mPFF,M,pSyn,351,None,61147.3778,4.786377838
152,IM 50,382,9,left,CA1,CA1,WT,mPFF,F,pSyn,382,None,1049094.772,6.020814723
153,IM 51,382,9,left,CA1,CA1,WT,mPFF,F,pSyn,382,None,1107939.283,6.044515961
154,IM 52,382,9,left,CA1,CA1,WT,mPFF,F,pSyn,382,None,1023768.279,6.010201669
155,IM 53,382,9,left,CA1,CA1,WT,mPFF,M,pSyn,382,None,1115701.437,6.047547992
156,IM 54,382,9,left,CA1,CA1,WT,mPFF,M,pSyn,382,None,1251579.245,6.097458353
157,IM 55,382,9,left,CA1,CA1,WT,mPFF,M,pSyn,382,None,1125171.948,6.051218896
158,IM 56,382,9,left,CA1,CA1,WT,mPFF,M,pSyn,382,None,1145774.361,6.0590991
159,IM 50,423,9,left,CA2,CA2,WT,mPFF,F,pSyn,423,None,76229.34391,4.882122182
160,IM 51,423,9,left,CA2,CA2,WT,mPFF,F,pSyn,423,None,72324.94886,4.859288135
161,IM 52,423,9,left,CA2,CA2,WT,mPFF,F,pSyn,423,None,66028.25196,4.8197298
162,IM 53,423,9,left,CA2,CA2,WT,mPFF,M,pSyn,423,None,65200.83713,4.814253172
163,IM 54,423,9,left,CA2,CA2,WT,mPFF,M,pSyn,423,None,72852.49326,4.862444419
