,mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,forRemove,batch,Region Area,Logged Region Area
48,IM 334,484682524,0.2,left,ar,ar,WT,mPFF,F,pSyn,484682524,None,49373.42044,4.693493215
49,IM 338,484682524,0.2,left,ar,ar,WT,mPFF,M,pSyn,484682524,None,53362.39251,4.727235293
50,IM 341,484682524,0.2,left,ar,ar,WT,mPFF,F,pSyn,484682524,None,122730.3825,5.088952088
51,IM 331,223,0.2,left,ARH,ARH,WT,mPFF,M,pSyn,223,None,78061.68926,4.892437945
52,IM 334,223,0.2,left,ARH,ARH,WT,mPFF,F,pSyn,223,None,76921.3367,4.886046823
53,IM 338,223,0.2,left,ARH,ARH,WT,mPFF,M,pSyn,223,None,91296.99107,4.960456464
54,IM 341,223,0.2,left,ARH,ARH,WT,mPFF,F,pSyn,223,None,90056.01204,4.954512711
55,IM 331,231,0.2,left,AT,AT,WT,mPFF,M,pSyn,231,None,29846.67431,4.474895947
56,IM 334,231,0.2,left,AT,AT,WT,mPFF,F,pSyn,231,None,28489.40801,4.454683425
57,IM 338,231,0.2,left,AT,AT,WT,mPFF,M,pSyn,231,None,16060.38946,4.205756073
58,IM 341,231,0.2,left,AT,AT,WT,mPFF,F,pSyn,231,None,50959.55755,4.707225649
59,IM 331,"c(527, 600, 678, 252, 156, 243)",0.2,left,AUDd,"c(""AUDd1"", ""AUDd2/3"", ""AUDd4"", ""AUDd5"", ""AUDd6a"", ""AUDd6b"")",WT,mPFF,M,pSyn,"c(527, 600, 678, 252, 156, 243)",None,61749.0113,4.790630008
60,IM 334,"c(527, 600, 678, 252, 156, 243)",0.2,left,AUDd,"c(""AUDd1"", ""AUDd2/3"", ""AUDd4"", ""AUDd5"", ""AUDd6a"", ""AUDd6b"")",WT,mPFF,F,pSyn,"c(527, 600, 678, 252, 156, 243)",None,54057.9014,4.732859182
61,IM 338,"c(527, 600, 678, 252, 156, 243)",0.2,left,AUDd,"c(""AUDd1"", ""AUDd2/3"", ""AUDd4"", ""AUDd5"", ""AUDd6a"", ""AUDd6b"")",WT,mPFF,M,pSyn,"c(527, 600, 678, 252, 156, 243)",None,60232.41363,4.779830267
62,IM 341,"c(527, 600, 678, 252, 156, 243)",0.2,left,AUDd,"c(""AUDd1"", ""AUDd2/3"", ""AUDd4"", ""AUDd5"", ""AUDd6a"", ""AUDd6b"")",WT,mPFF,F,pSyn,"c(527, 600, 678, 252, 156, 243)",None,75435.2594,4.877574388
63,IM 331,"c(735, 251, 816, 847, 954, 1005)",0.2,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,M,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,85463.25379,4.931779423
64,IM 334,"c(735, 251, 816, 847, 954, 1005)",0.2,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,F,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,86068.61836,4.934844831
65,IM 338,"c(735, 251, 816, 847, 954, 1005)",0.2,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,M,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,99678.69473,4.998602342
